episode,length,total_reward,avg_q,exploration
0,6,0,0.014165345,1.0
1,10,4,0.017520538,0.9950248756218908
2,11,5,0.020402249,0.990074503106359
3,34,24,0.042137377,0.98514875930981
4,22,6,0.06900494,0.9802475217013036
5,16,6,0.09019936,0.9753706683595064
6,12,2,0.107133105,0.970518077969658
7,12,2,0.124728285,0.9656896298205554
8,12,4,0.14313796,0.9608852038015476
9,15,6,0.16607234,0.95610468039955
10,14,4,0.19122231,0.95134794069607
11,15,0,0.21804109,0.9466148663642489
12,17,5,0.24300683,0.9419053396659192
13,16,6,0.25362125,0.937219243448676
14,7,0,0.2543689,0.9325564611429612
15,19,5,0.25090998,0.9279168767591656
16,26,3,0.24061897,0.923300374884742
17,18,9,0.23329464,0.9187068406813352
18,10,1,0.22813883,0.914136159881926
19,26,11,0.20729356,0.909588218787986
20,11,2,0.20078139,0.9050629042666528
21,23,10,0.19833577,0.9005601037479133
22,22,12,0.20963542,0.8960797052218044
23,11,2,0.21401682,0.8916215972356263
24,31,1,0.22396469,0.8871856688911706
25,30,6,0.22540279,0.8827718098419609
26,14,4,0.22122376,0.8783799102905084
27,25,14,0.23078799,0.8740098609855806
28,17,6,0.24511094,0.8696615532194834
29,13,4,0.25860715,0.8653348788253566
30,32,16,0.2910031,0.8610297301744844
31,28,18,0.2774778,0.8567460001736164
32,11,1,0.2658773,0.8524835822623049
33,39,20,0.27663672,0.8482423704102537
34,22,9,0.26831564,0.8440222591146804
35,5,0,0.2598762,0.839823143397692
36,19,8,0.23445444,0.8356449188036738
37,12,0,0.23121083,0.8314874813966904
38,17,3,0.2412374,0.827350727757901
39,33,16,0.23067608,0.8232345549829861
40,13,0,0.21099472,0.8191388606795883
41,14,3,0.22025537,0.8150635429647646
42,12,4,0.23769324,0.8110085004624524
43,8,2,0.25329557,0.8069736323009478
44,17,4,0.25560257,0.8029588381103959
45,21,6,0.22722049,0.7989640180202945
46,22,9,0.16705008,0.7949890726570096
47,13,0,0.16811685,0.7910339031413032
48,13,4,0.18250506,0.7870984110858739
49,27,17,0.22830287,0.7831824985929094
50,13,4,0.23542865,0.7792860682516513
51,14,3,0.18500099,0.7754090231359715
52,17,0,0.12573315,0.7715512668019617
53,10,0,0.124442816,0.7677127032855341
54,9,1,0.14386258,0.763893237100034
55,10,2,0.18983607,0.7600927732338647
56,34,20,0.17988029,0.7563112171481242
57,24,5,0.33924147,0.752548474774253
58,9,1,0.4272917,0.7488044525116946
59,12,2,0.4857679,0.7450790572255668
60,20,11,0.41170424,0.7413721962443451
61,40,21,0.29364094,0.7376837773575574
62,22,14,0.31492782,0.73401370881349
63,12,6,0.3030635,0.7303618993169055
64,10,1,0.30483875,0.7267282580267718
65,15,1,0.3624641,0.7231126945540018
66,33,9,0.2567018,0.719515118959206
67,10,0,0.23023827,0.7159354417504538
68,10,1,0.28970867,0.7123735738810486
69,25,6,0.41684765,0.7088294267473121
70,17,5,0.3604768,0.7053029121863803
71,36,26,0.36156803,0.7017939424740103
72,11,1,0.37488368,0.6983024303223984
73,32,14,0.41962138,0.6948282888780084
74,12,4,0.38664252,0.6913714317194114
75,11,4,0.31106973,0.6879317728551358
76,12,0,0.28212443,0.6845092267215283
77,13,2,0.30885082,0.6811037081806252
78,30,12,0.370862,0.6777151325180351
79,25,10,0.37538552,0.674343415440831
80,28,18,0.30667478,0.6709884730754538
81,18,6,0.3734168,0.6676502219656257
82,18,5,0.33815947,0.6643285790702744
83,21,5,0.27697474,0.6610234617614672
84,39,24,0.4052053,0.6577347878223555
85,79,21,0.31537688,0.6544624754451299
86,31,17,0.3364394,0.651206443228985
87,27,5,0.3128659,0.6479666101780946
88,26,15,0.31390715,0.6447428956995968
89,12,3,0.31045204,0.6415352196015889
90,13,4,0.34677473,0.6383435020911333
91,67,21,0.2932016,0.6351676637722721
92,25,12,0.37693152,0.6320076256440519
93,30,11,0.34365025,0.6288633090985591
94,10,0,0.33509794,0.6257346359189644
95,54,17,0.39556423,0.6226215282775766
96,20,10,0.39972755,0.6195239087339071
97,35,15,0.3399515,0.6164417002327434
98,20,13,0.5095898,0.6133748261022323
99,27,13,0.6539381,0.6103232100519724
100,37,11,0.405766874551773,0.6072867761711169
101,46,14,0.4097989499568939,0.6042654489264846
