episode,length,total_reward,avg_q,exploration
0,6,0,0.025585681,1.0
1,7,0,0.032913417,0.9950248756218908
2,12,4,0.041166186,0.990074503106359
3,15,7,0.05158916,0.98514875930981
4,33,24,0.112902306,0.9802475217013036
5,11,4,0.13540967,0.9753706683595064
6,9,1,0.15600596,0.970518077969658
7,14,2,0.18568821,0.9656896298205554
8,14,6,0.20797946,0.9608852038015476
9,13,4,0.22590105,0.95610468039955
10,8,2,0.23932867,0.95134794069607
11,9,0,0.25178263,0.9466148663642489
12,17,10,0.27142274,0.9419053396659192
13,5,0,0.2761198,0.937219243448676
14,19,7,0.28531355,0.9325564611429612
15,11,4,0.29721197,0.9279168767591656
16,17,7,0.3218137,0.923300374884742
17,18,9,0.34987625,0.9187068406813352
18,6,0,0.35527775,0.914136159881926
19,8,1,0.35882422,0.909588218787986
20,17,4,0.364254,0.9050629042666528
21,24,14,0.37508556,0.9005601037479133
22,22,9,0.39082876,0.8960797052218044
23,29,17,0.40318808,0.8916215972356263
24,10,0,0.41136274,0.8871856688911706
25,32,22,0.47065696,0.8827718098419609
26,14,3,0.49236158,0.8783799102905084
27,20,9,0.5078118,0.8740098609855806
28,7,0,0.51335114,0.8696615532194834
29,12,3,0.5113906,0.8653348788253566
30,28,12,0.49957046,0.8610297301744844
31,19,5,0.5163934,0.8567460001736164
32,19,12,0.54619783,0.8524835822623049
33,35,21,0.577172,0.8482423704102537
34,28,15,0.59208316,0.8440222591146804
35,28,14,0.6011427,0.839823143397692
36,8,0,0.6109164,0.8356449188036738
37,12,2,0.6373072,0.8314874813966904
38,18,8,0.6646196,0.827350727757901
39,17,5,0.672906,0.8232345549829861
40,13,1,0.6886554,0.8191388606795883
41,14,2,0.69084406,0.8150635429647646
42,37,24,0.6441714,0.8110085004624524
43,13,4,0.646045,0.8069736323009478
44,21,6,0.64908546,0.8029588381103959
45,13,1,0.6464377,0.7989640180202945
46,25,0,0.6486221,0.7949890726570096
47,16,4,0.66383225,0.7910339031413032
48,24,8,0.67198753,0.7870984110858739
49,19,8,0.68472797,0.7831824985929094
50,16,0,0.697529,0.7792860682516513
51,16,8,0.6972594,0.7754090231359715
52,14,7,0.6966612,0.7715512668019617
53,14,6,0.6848338,0.7677127032855341
54,44,27,0.6532674,0.763893237100034
55,38,27,0.6986287,0.7600927732338647
56,12,2,0.7233537,0.7563112171481242
57,25,15,0.9353752,0.752548474774253
58,37,22,1.1725712,0.7488044525116946
59,9,2,1.1689852,0.7450790572255668
60,26,11,1.1235485,0.7413721962443451
61,31,8,1.1641129,0.7376837773575574
62,73,41,1.274048,0.73401370881349
63,59,29,1.384858,0.7303618993169055
64,23,6,1.3034506,0.7267282580267718
65,18,13,1.332087,0.7231126945540018
66,42,15,1.3182005,0.719515118959206
67,29,13,1.312817,0.7159354417504538
68,36,18,1.3505996,0.7123735738810486
69,60,44,1.3062795,0.7088294267473121
70,13,4,1.3280343,0.7053029121863803
71,13,4,1.3310331,0.7017939424740103
72,12,2,1.3183001,0.6983024303223984
73,17,4,1.2964679,0.6948282888780084
74,75,44,1.3318896,0.6913714317194114
75,24,7,1.3087732,0.6879317728551358
76,14,6,1.3741823,0.6845092267215283
77,38,24,1.3915266,0.6811037081806252
78,15,2,1.3390325,0.6777151325180351
79,42,26,1.3071374,0.674343415440831
80,32,11,1.3382287,0.6709884730754538
81,24,8,1.3368235,0.6676502219656257
82,23,10,1.3077015,0.6643285790702744
83,18,2,1.3036901,0.6610234617614672
84,31,7,1.3351165,0.6577347878223555
85,14,5,1.3563942,0.6544624754451299
86,13,4,1.3387264,0.651206443228985
87,43,20,1.3021513,0.6479666101780946
88,29,4,1.333211,0.6447428956995968
89,14,4,1.3038052,0.6415352196015889
90,52,11,1.6138026,0.6383435020911333
91,13,4,1.786537,0.6351676637722721
92,79,42,1.9009944,0.6320076256440519
93,16,5,1.9828514,0.6288633090985591
94,11,0,1.926116,0.6257346359189644
95,36,12,1.9016628,0.6226215282775766
96,9,0,1.9404758,0.6195239087339071
97,22,10,1.9387106,0.6164417002327434
98,61,34,1.8787861,0.6133748261022323
99,15,3,1.9175143,0.6103232100519724
100,66,38,1.845523238182068,0.6072867761711169
101,44,30,1.8503742218017576,0.6042654489264846
102,13,1,1.8784669637680047,0.6012591531606812
103,34,18,1.8763641119003296,0.5982678140902301
104,6,0,1.8719803094863887,0.5952913573037116
105,23,8,1.8613537549972528,0.5923297087599121
106,16,6,1.829181671142578,0.5893827947859822
107,26,14,1.7816542387008667,0.5864505420756042
108,16,8,1.868213176727295,0.5835328776871684
109,66,32,1.8045144081115725,0.5806297290419588
110,62,30,1.798474907875061,0.577741023922347
111,19,5,1.8640928268432613,0.5748666904699972
112,15,4,1.8496519327163696,0.5720066571840768
113,19,6,1.837247371673584,0.5691608529194795
114,24,11,1.8936456441879272,0.5663292068850543
115,46,26,1.8367444276809688,0.5635116486418451
116,42,5,1.8448954820632928,0.5607081081013385
117,27,10,1.8037723302841189,0.55791851552372
118,21,10,1.756151556968689,0.5551428015161394
119,52,21,1.878562569618225,0.5523808970309845
120,126,86,2.561235189437866,0.5496327333641637
121,13,0,2.4656636714935303,0.5468982421533968
122,34,2,2.3713538646698,0.5441773553765142
123,92,49,2.5157630443573,0.5414700053497654
124,6,0,2.548046350479126,0.5387761247261348
125,31,13,2.5516536235809326,0.5360956464936665
126,51,32,2.540884256362915,0.5334285039737976
127,41,26,2.5350019931793213,0.5307746308196991
128,68,34,2.5620758533477783,0.5281339610146261
129,18,7,2.53613829612732,0.5255064288702748
130,25,12,2.5077667236328125,0.5228919690251491
131,60,36,2.593778371810913,0.5202905164429344
132,28,17,2.5209875106811523,0.5177020064108802
133,60,36,2.521348476409912,0.5151263745381892
134,16,4,2.604366064071656,0.5125635567544172
135,42,20,2.529082536697388,0.5100134893078779
136,90,61,2.5117440223693848,0.5074761087640577
137,46,22,2.506573438644409,0.5049513520040375
138,141,96,2.5695502758026123,0.5024391562229229
139,66,31,2.5392627716064453,0.4999394589282815
140,35,16,2.6942806243896484,0.4974521979385887
141,102,61,3.048729181289673,0.4949773113816803
142,179,100,3.196840524673462,0.4925147376932143
143,44,7,3.205918550491333,0.4900644156151386
144,14,1,3.162766695022583,0.4876262841941678
145,60,25,3.110320806503296,0.4852002827802666
146,78,59,3.1252944469451904,0.4827863510251409
147,198,114,3.133594274520874,0.4803844288807373
148,48,14,3.186064958572388,0.4779944565977486
149,38,16,3.113080739974976,0.475616374724128
150,44,30,3.144329071044922,0.47325012410361
151,118,86,3.170285940170288,0.4708956458742389
152,22,5,3.0768041610717773,0.4685528814669044
153,75,48,3.85720157623291,0.466221772603885
154,23,7,3.9613540172576895,0.4639022612973981
155,15,3,3.826427459716797,0.4615942898481573
156,71,39,3.917946815490722,0.4592978008439377
157,24,2,3.966005086898804,0.457012737158147
158,107,54,3.8610455989837646,0.4547390419484051
159,23,9,3.805078268051148,0.4524766586551295
160,56,42,3.9226267337799072,0.4502255310001289
161,92,33,3.935034036636353,0.4479856029852029
162,120,77,3.846478223800659,0.4457568188907492
163,12,1,3.839166641235352,0.4435391232743774
164,46,30,3.806437730789185,0.4413324609695297
165,61,41,3.910488128662109,0.4391367770841092
166,17,6,3.898602724075317,0.4369520169991137
167,44,21,3.7881791591644287,0.4347781263672774
168,17,6,3.846173048019409,0.4326150511117189
169,31,24,3.924053907394409,0.4304627374245959
170,59,33,3.889481544494629,0.4283211317657671
171,63,42,3.916261672973633,0.4261901808614599
172,102,61,4.28711462020874,0.4240698317029452
173,36,21,4.733044147491455,0.4219600315452191
174,142,104,4.457705974578857,0.4198607279056907
175,35,27,4.633811473846436,0.4177718685628764
176,100,51,4.57442045211792,0.4156934015551009
177,21,3,4.521742343902588,0.4136252751792049
178,118,82,4.580676555633545,0.4115674379892587
179,36,9,4.55361795425415,0.4095198387952823
180,50,17,4.644381046295166,0.4074824266619725
181,291,148,4.426117897033691,0.4054551509074354
182,104,57,4.503445625305176,0.4034379611019258
183,56,24,4.536073207855225,0.4014308070665929
184,128,78,5.136066436767578,0.3994336388722317
185,75,32,5.09677267074585,0.3974464068380416
186,66,24,5.298595428466797,0.3954690615303897
187,58,39,5.131704330444336,0.3935015537615818
188,17,5,5.200449466705322,0.3915438345886387
189,36,3,5.2634992599487305,0.3895958553120783
190,36,24,5.286149978637695,0.3876575674747048
191,48,33,5.183134078979492,0.3857289228604028
192,130,66,5.162049770355225,0.3838098734929381
193,33,17,5.133285045623779,0.3819003716347643
194,121,81,5.1812262535095215,0.3800003697858352
195,54,29,5.156473159790039,0.3781098206824231
196,118,65,5.1830830574035645,0.3762286772959435
197,94,54,5.712371826171875,0.3743568928317846
198,62,35,5.721863269805908,0.372494420728144
199,112,67,5.994058132171631,0.3706412146548696
200,94,72,6.001306533813477,0.3687972285123082
201,60,41,5.924818515777588,0.3669624164301574
202,94,70,6.076242923736572,0.3651367327663258
203,133,98,6.043691635131836,0.3633201321057969
204,54,14,5.82684326171875,0.3615125692594994
205,128,65,5.902194976806641,0.3597139992631835
206,141,58,5.986789226531982,0.357924377376302
207,37,12,5.874603748321533,0.3561436590808976
208,74,51,6.0105719566345215,0.3543718000804952
209,56,25,6.660119533538818,0.3526087562990002
210,12,6,6.505849361419678,0.3508544838796023
211,118,69,6.627805233001709,0.3491089391836839
212,42,20,6.660041332244873,0.3473720787897352
213,28,3,6.504018783569336,0.3456438594922739
214,108,70,6.566574096679688,0.3439242383007701
215,170,101,6.580142974853516,0.3422131724385773
216,39,23,6.552341461181641,0.340510619341868
217,120,80,6.568952560424805,0.3388165366585751
218,65,39,6.594544887542725,0.3371308822473385
219,174,80,6.625991821289063,0.3354536141764562
220,124,91,7.255779266357422,0.333784690722842
221,66,42,7.458803176879883,0.3321240703709872
222,86,57,7.274591445922852,0.3304717118119276
223,50,20,7.453336238861084,0.3288275739422165
224,154,108,7.380660533905029,0.327191615862902
225,11,2,7.474371433258057,0.3255637968785095
226,80,50,7.324373722076416,0.3239440764960294
