episode,avg_q
0,0.07567348
1,0.114492334
2,0.12291227
3,0.1178712
4,0.08062246
5,0.0488273
6,0.03704119
7,0.025188135
8,0.018737363
9,-0.022765793
10,-0.058468983
11,-0.0779822
12,-0.09015129
13,-0.09630464
14,-0.10568597
15,-0.14896339
16,-0.15590769
17,-0.15615445
18,-0.16816878
19,-0.16854447
20,-0.1284183
21,-0.11124032
22,-0.14250407
23,-0.16368172
24,-0.1947065
25,-0.18129556
26,-0.16424622
27,-0.15389535
28,-0.16739143
29,-0.15863064
30,-0.1560642
31,-0.14786278
32,-0.13778032
33,-0.16320466
34,-0.14409316
35,-0.13090861
36,-0.13972464
37,-0.1386691
38,-0.15315302
39,-0.15268084
40,-0.11170794
41,-0.13288908
42,-0.094913214
43,-0.10970134
44,-0.22565788
45,-0.26452935
46,-0.3007569
47,-0.27928331
48,-0.24945354
49,-0.20426965
50,-0.25383836
51,-0.27240226
52,-0.18134631
53,-0.17967425
54,-0.17387547
55,-0.18177345
56,-0.22957236
57,-0.16963284
58,-0.18542221
59,-0.26788792
60,-0.20295604
61,-0.21728094
62,-0.22890276
63,-0.265844
64,-0.20693912
65,-0.2052656
66,0.03472617
67,-0.34117308
68,-0.32300773
69,-0.27935326
70,-0.3473774
71,-0.28251076
72,-0.2743603
73,-0.2834459
74,-0.33569825
75,-0.2558234
76,-0.025430838
77,-0.30338204
78,-0.50370926
79,-0.41631344
80,-0.37064663
81,-0.41192108
82,-0.4401525
83,-0.389403
84,-0.38953713
85,-0.13899872
86,-0.39437547
87,-0.45274115
88,-0.44495773
89,-0.5143832
90,-0.4914174
91,-0.5329242
92,-0.5549926
93,-0.68722904
94,-0.6341363
95,-0.6350633
96,-0.5934713
97,-0.6856085
98,-0.66896945
99,-0.50577164
100,-0.6519009470939636
101,-0.599320113658905
102,-0.41504180431365967
103,-0.6558250784873962
104,-0.6676353812217712
105,-0.6214199066162109
106,-0.6362308859825134
107,-0.6707484126091003
108,-0.728684663772583
109,-0.4303959608078003
110,-0.5613527297973633
111,-0.7078309655189514
112,-0.5141379833221436
113,-0.354688435792923
114,-0.1678180694580078
115,-0.2470281422138214
116,-0.41204261779785156
117,-0.04545678198337555
118,-0.005485428497195244
119,-0.0861113891005516
120,0.3245227634906769
121,0.3294093906879425
122,0.3801290690898895
123,0.4467129111289978
124,0.5742867588996887
125,0.4772148132324219
126,0.7649468183517456
127,0.9440521597862244
128,0.6715376377105713
129,1.1981730461120605
130,1.402230143547058
131,1.9837809801101685
132,1.6558952331542969
133,2.312485933303833
134,2.229501724243164
135,2.9509994983673096
136,2.8963351249694824
137,3.5058376789093018
