episode,total_reward
0,0.0
1,14.0
2,-5.0
3,-4.0
4,3.0
5,9.0
6,-3.0
7,11.0
8,-2.0
9,13.0
10,9.0
11,-8.0
12,-2.0
13,-1.0
14,-1.0
15,6.0
16,5.0
17,0.0
18,-6.0
19,-5.0
20,14.0
21,4.0
22,4.0
23,-3.0
24,1.0
25,-3.0
26,0.0
27,4.0
28,2.0
29,5.0
30,-1.0
31,3.0
32,-2.0
33,1.0
34,7.0
35,6.0
36,8.0
37,-1.0
38,-2.0
39,14.0
40,13.0
41,13.0
42,1.0
43,-3.0
44,16.0
45,-3.0
46,6.0
47,-1.0
48,63.0
49,2.0
50,6.0
51,7.0
52,13.0
53,-4.0
54,-1.0
55,43.0
56,8.0
57,1.0
58,-5.0
59,15.0
60,41.0
61,42.0
62,0.0
63,7.0
64,29.0
65,47.0
66,38.0
67,40.0
68,11.0
69,80.0
70,16.0
71,43.0
72,16.0
73,17.0
74,101.0
75,-16.0
76,-37.0
77,3.0
78,0.0
79,112.0
80,114.0
81,71.0
82,26.0
83,0.0
84,8.0
85,-9.0
86,-11.0
87,-19.0
88,-1.0
89,46.0
90,4.0
91,58.0
92,59.0
93,13.0
94,71.0
95,-5.0
96,58.0
97,-18.0
98,58.0
99,45.0
100,31.0
101,56.0
102,144.0
103,37.0
104,44.0
105,92.0
106,54.0
107,118.0
108,147.0
109,-7.0
110,23.0
111,-33.0
112,-188.0
113,38.0
114,62.0
115,-26.0
116,-52.0
117,-85.0
118,-154.0
119,176.0
120,-147.0
121,11.0
122,-41.0
123,-196.0
124,154.0
125,110.0
126,45.0
127,-9.0
128,481.0
129,-29.0
130,-173.0
131,-9.0
132,45.0
133,76.0
134,82.0
135,246.0
136,202.0
137,114.0
