episode,length,total_reward,avg_q,exploration
0,11,0.0,0.039385382,1.0
1,9,0.0,0.039385382,0.9950248756218908
2,17,4.0,0.039385382,0.990074503106359
3,14,2.0,0.039385382,0.98514875930981
4,5,0.0,0.039385382,0.9802475217013036
5,18,7.0,0.03540056,0.9753706683595064
6,16,5.0,0.03484456,0.970518077969658
7,17,8.0,0.058486704,0.9656896298205554
8,12,4.0,0.07494193,0.9608852038015476
9,7,2.0,0.086927,0.95610468039955
10,13,0.0,0.10170015,0.95134794069607
11,17,5.0,0.1271161,0.9466148663642489
12,18,6.0,0.15642089,0.9419053396659192
13,13,3.0,0.17538054,0.937219243448676
14,10,2.0,0.18925856,0.9325564611429612
15,10,1.0,0.20826276,0.9279168767591656
16,14,3.0,0.22489084,0.923300374884742
17,13,4.0,0.24271423,0.9187068406813352
18,10,4.0,0.25241295,0.914136159881926
19,10,3.0,0.2640906,0.909588218787986
20,9,0.0,0.276947,0.9050629042666528
21,24,8.0,0.30650866,0.9005601037479133
22,29,9.0,0.3560389,0.8960797052218044
23,15,8.0,0.38300243,0.8916215972356263
24,8,0.0,0.3993636,0.8871856688911706
25,14,4.0,0.4207746,0.8827718098419609
26,38,25.0,0.46013728,0.8783799102905084
27,20,6.0,0.49940088,0.8740098609855806
28,32,17.0,0.5093818,0.8696615532194834
29,21,6.0,0.5259982,0.8653348788253566
30,18,4.0,0.55282295,0.8610297301744844
31,18,11.0,0.5392319,0.8567460001736164
32,42,14.0,0.5516567,0.8524835822623049
33,16,3.0,0.5543513,0.8482423704102537
34,15,8.0,0.5724272,0.8440222591146804
35,36,5.0,0.6215211,0.839823143397692
36,10,0.0,0.6345041,0.8356449188036738
37,14,2.0,0.6340515,0.8314874813966904
38,33,23.0,0.61676997,0.827350727757901
39,33,13.0,0.64292204,0.8232345549829861
40,8,1.0,0.63955796,0.8191388606795883
41,27,18.0,0.632544,0.8150635429647646
42,38,20.0,0.67330235,0.8110085004624524
43,11,0.0,0.6757205,0.8069736323009478
44,21,15.0,0.6571246,0.8029588381103959
45,30,17.0,0.6536578,0.7989640180202945
46,8,0.0,0.65511,0.7949890726570096
47,12,0.0,0.6656907,0.7910339031413032
48,14,0.0,0.664274,0.7870984110858739
49,8,1.0,0.6699541,0.7831824985929094
50,34,21.0,0.67387295,0.7792860682516513
51,40,23.0,0.6861704,0.7754090231359715
52,10,2.0,0.6822758,0.7715512668019617
53,10,0.0,0.67714757,0.7677127032855341
54,26,15.0,0.66575354,0.763893237100034
55,33,18.0,1.1157078,0.7600927732338647
56,19,5.0,1.2574452,0.7563112171481242
57,29,13.0,1.1990047,0.752548474774253
58,26,5.0,1.2500144,0.7488044525116946
59,54,42.0,1.3246692,0.7450790572255668
60,83,60.0,1.3605362,0.7413721962443451
61,56,29.0,1.3778824,0.7376837773575574
62,42,32.0,1.4115444,0.73401370881349
63,46,30.0,1.355298,0.7303618993169055
64,30,22.0,1.3405315,0.7267282580267718
65,19,12.0,1.3837062,0.7231126945540018
66,42,31.0,1.334602,0.719515118959206
67,6,0.0,1.331546,0.7159354417504538
68,54,17.0,1.4034418,0.7123735738810486
69,23,14.0,1.3604692,0.7088294267473121
70,14,2.0,1.3585091,0.7053029121863803
71,39,21.0,1.4218758,0.7017939424740103
72,62,23.0,1.2845666,0.6983024303223984
73,30,18.0,1.3365234,0.6948282888780084
74,12,4.0,1.3680674,0.6913714317194114
75,54,11.0,1.3430849,0.6879317728551358
76,62,57.0,1.3652138,0.6845092267215283
77,27,15.0,1.3520689,0.6811037081806252
78,9,1.0,1.3733224,0.6777151325180351
79,60,40.0,1.3139533,0.674343415440831
80,19,6.0,1.3424224,0.6709884730754538
81,12,4.0,1.3479391,0.6676502219656257
82,36,20.0,1.2750546,0.6643285790702744
83,23,18.0,1.6827704,0.6610234617614672
84,16,9.0,2.0336173,0.6577347878223555
85,82,66.0,2.1712255,0.6544624754451299
86,78,45.0,2.148361,0.651206443228985
87,30,19.0,2.0902598,0.6479666101780946
88,15,2.0,2.0875494,0.6447428956995968
89,56,25.0,2.0461528,0.6415352196015889
90,76,52.0,2.0668333,0.6383435020911333
91,27,15.0,2.0285625,0.6351676637722721
92,32,24.0,2.0674198,0.6320076256440519
93,43,28.0,2.0679545,0.6288633090985591
94,82,48.0,2.1108723,0.6257346359189644
95,86,60.0,2.0550804,0.6226215282775766
96,75,62.0,2.0734575,0.6195239087339071
97,50,26.0,2.030109,0.6164417002327434
98,34,18.0,2.072082,0.6133748261022323
99,44,33.0,2.023663,0.6103232100519724
100,108,75.0,2.0165319442749023,0.6072867761711169
101,12,3.0,2.052368402481079,0.6042654489264846
102,38,20.0,2.148188352584839,0.6012591531606812
103,42,32.0,2.916161298751831,0.5982678140902301
104,42,24.0,2.949345827102661,0.5952913573037116
105,108,94.0,2.934678792953491,0.5923297087599121
106,72,48.0,2.9535820484161377,0.5893827947859822
107,80,43.0,2.892985582351685,0.5864505420756042
108,48,6.0,2.940759420394897,0.5835328776871684
109,50,33.0,2.9536921977996826,0.5806297290419588
110,17,4.0,2.9009053707122803,0.577741023922347
111,24,14.0,2.9497334957122803,0.5748666904699972
112,90,71.0,2.896757364273072,0.5720066571840768
113,50,21.0,2.9301700592041016,0.5691608529194795
114,55,13.0,2.8560705184936523,0.5663292068850543
115,100,81.0,2.941033363342285,0.5635116486418451
116,86,73.0,2.924405336380005,0.5607081081013385
117,186,155.0,3.602266311645508,0.55791851552372
118,9,0.0,3.4851226806640625,0.5551428015161394
119,97,67.0,3.786604642868042,0.5523808970309845
120,56,29.0,3.717941045761109,0.5496327333641637
121,143,79.0,3.704893112182617,0.5468982421533968
122,27,19.0,3.7826757431030273,0.5441773553765142
123,70,55.0,3.834357261657715,0.5414700053497654
124,92,48.0,3.726321220397949,0.5387761247261348
125,68,63.0,3.729959726333618,0.5360956464936665
126,76,45.0,3.710609436035156,0.5334285039737976
127,60,38.0,3.74480938911438,0.5307746308196991
128,85,67.0,3.6569087505340576,0.5281339610146261
129,8,0.0,3.65766716003418,0.5255064288702748
130,76,60.0,3.7119436264038086,0.5228919690251491
131,32,20.0,3.7490737438201904,0.5202905164429344
132,93,71.0,4.583540439605713,0.5177020064108802
133,19,1.0,4.329353332519531,0.5151263745381892
134,40,20.0,4.586974620819092,0.5125635567544172
135,22,4.0,4.41803503036499,0.5100134893078779
136,132,113.0,4.567844867706299,0.5074761087640577
137,54,25.0,4.558340549468994,0.5049513520040375
138,18,9.0,4.518074035644531,0.5024391562229229
139,18,7.0,4.492551803588867,0.4999394589282815
140,106,76.0,4.4881744384765625,0.4974521979385887
141,51,26.0,4.500105381011963,0.4949773113816803
142,76,57.0,4.419841289520264,0.4925147376932143
143,94,81.0,4.428709030151367,0.4900644156151386
144,104,60.0,4.48725175857544,0.4876262841941678
145,151,122.0,4.505331039428711,0.4852002827802666
146,54,30.0,4.483368396759033,0.4827863510251409
147,48,17.0,5.494171142578125,0.4803844288807373
148,102,76.0,5.3272786140441895,0.4779944565977486
149,37,29.0,5.323758602142334,0.475616374724128
150,98,71.0,5.2769694328308105,0.47325012410361
151,52,33.0,5.248196125030518,0.4708956458742389
152,56,21.0,5.356719493865967,0.4685528814669044
153,20,8.0,5.307466506958008,0.466221772603885
154,30,14.0,5.217504024505615,0.4639022612973981
155,15,0.0,5.1929802894592285,0.4615942898481573
156,92,52.0,5.260448932647705,0.4592978008439377
157,210,173.0,5.280892848968506,0.457012737158147
158,26,20.0,5.254942417144775,0.4547390419484051
159,62,44.0,5.261358737945557,0.4524766586551295
160,180,91.0,5.57253885269165,0.4502255310001289
161,96,74.0,5.973535537719727,0.4479856029852029
162,88,52.0,6.108791828155518,0.4457568188907492
163,63,51.0,6.132970809936523,0.4435391232743774
164,17,5.0,6.115135192871094,0.4413324609695297
165,198,158.0,6.104422092437744,0.4391367770841092
166,200,111.0,6.103492259979248,0.4369520169991137
167,143,101.0,6.107311725616455,0.4347781263672774
168,81,33.0,6.101160526275635,0.4326150511117189
169,162,133.0,6.794092655181885,0.4304627374245959
170,198,180.0,6.8463664054870605,0.4283211317657671
171,84,68.0,7.001652240753174,0.4261901808614599
172,99,62.0,6.912145137786865,0.4240698317029452
173,11,2.0,6.911079406738281,0.4219600315452191
174,277,169.0,6.912211894989014,0.4198607279056907
175,218,138.0,6.871181488037109,0.4177718685628764
176,52,41.0,6.984569072723389,0.4156934015551009
177,230,62.0,7.743324279785156,0.4136252751792049
178,164,83.0,7.743009090423584,0.4115674379892587
179,94,68.0,7.805433750152588,0.4095198387952823
180,167,146.0,7.821983337402344,0.4074824266619725
181,70,58.0,7.84614372253418,0.4054551509074354
182,66,51.0,7.791935443878174,0.4034379611019258
183,155,138.0,7.773492336273193,0.4014308070665929
184,148,114.0,8.822527885437012,0.3994336388722317
185,266,106.0,8.628405570983887,0.3974464068380416
186,346,279.0,8.602611541748047,0.3954690615303897
187,78,67.0,8.550666809082031,0.3935015537615818
188,234,115.0,9.467228889465332,0.3915438345886387
189,84,60.0,9.719810485839844,0.3895958553120783
190,144,123.0,9.405106544494627,0.3876575674747048
191,157,96.0,9.38681697845459,0.3857289228604028
192,34,4.0,9.459107398986816,0.3838098734929381
193,146,131.0,9.54192352294922,0.3819003716347643
194,33,24.0,9.517562866210938,0.3800003697858352
195,158,129.0,9.412121772766112,0.3781098206824231
196,77,60.0,9.477190971374512,0.3762286772959435
197,198,177.0,10.026958465576172,0.3743568928317846
198,87,76.0,10.510544776916504,0.372494420728144
199,48,16.0,10.28170680999756,0.3706412146548696
200,22,12.0,10.426226615905762,0.3687972285123082
