episode,avg_q
0,0.03079939
1,0.03079939
2,0.03079939
3,0.028664334
4,0.024111588
5,0.020015324
6,0.00551094
7,-0.0036014216
8,-0.008649491
9,-0.012177091
10,0.005028207
11,0.0049349293
12,0.012470793
13,0.029083438
14,0.035659462
15,0.053704217
16,-0.04588917
17,0.06433287
18,0.03038916
19,0.05263439
20,0.023404956
21,0.028332382
22,0.04715696
23,0.094338
24,0.22750923
25,0.07230109
26,-0.011068881
27,0.019164085
28,0.049596667
29,0.049310267
30,0.1346699
31,0.045714617
32,-0.037518978
33,0.31445086
34,0.09152162
35,0.055512667
36,0.048945785
37,-0.012569308
38,-0.05848384
39,0.020989656
40,0.010336757
41,0.100426674
42,-0.17284846
43,-0.20008779
44,-0.16077137
45,-0.36330557
46,-0.3447461
47,-0.14994979
48,-0.2644813
49,-0.39069223
50,-0.36894298
51,-0.119353294
52,-0.041650534
53,-0.10136962
54,0.017012358
55,-0.21519852
56,-0.16034698
57,-0.108976364
58,0.20069885
59,0.2415967
60,0.46350098
61,0.18944311
62,0.27117157
63,0.013338566
64,0.7166395
65,0.25243044
66,0.12325001
67,-0.0054826736
68,0.14187193
69,0.36025047
70,0.40190125
71,0.67964077
72,0.70835733
73,1.1288457
74,1.482945
75,1.6747389
76,1.7082596
77,1.9519196
78,2.1625862
79,2.110807
80,2.7186508
81,2.3304658
82,3.2858663
83,3.1638055
84,3.2865424
85,3.4925017
86,3.43017
87,3.631085
88,4.2826414
89,3.7762184
90,3.879877
91,3.915276
92,4.777791
93,4.6521497
94,4.7443895
95,4.654571
96,4.7094145
97,4.9556036
98,4.9233475
99,5.615913
