episode,total_reward
0,5.0
1,-1.0
2,2.0
3,-2.0
4,-6.0
5,-2.0
6,0.0
7,-2.0
8,-1.0
9,2.0
10,14.0
11,2.0
12,0.0
13,-1.0
14,18.0
15,0.0
16,-1.0
17,123.0
18,10.0
19,6.0
20,2.0
21,29.0
22,42.0
23,78.0
24,24.0
25,83.0
26,336.0
27,117.0
28,94.0
29,93.0
30,193.0
31,38.0
32,43.0
33,201.0
34,14.0
35,155.0
36,47.0
37,64.0
38,99.0
39,-15.0
40,110.0
41,31.0
42,252.0
43,-3.0
44,37.0
45,498.0
46,499.0
47,-4.0
48,498.0
49,272.0
50,500.0
51,498.0
52,500.0
53,394.0
54,499.0
55,54.0
56,500.0
57,499.0
58,499.0
59,499.0
60,28.0
61,5.0
62,370.0
63,34.0
64,-87.0
65,398.0
66,500.0
67,404.0
68,-130.0
69,500.0
70,498.0
71,191.0
72,500.0
73,10.0
74,-220.0
75,21.0
76,288.0
77,-180.0
78,499.0
79,425.0
80,-147.0
81,498.0
82,70.0
83,135.0
84,8.0
85,485.0
86,-37.0
87,499.0
88,168.0
89,491.0
90,499.0
91,422.0
92,-71.0
93,150.0
94,32.0
95,17.0
96,500.0
97,177.0
98,-95.0
99,229.0
