episode,absolute error
0,3970.3549646891993
1,6343.568235453071
2,16107.16926638654
3,8580.75060901525
4,7024.415146332764
5,5721.315305861889
6,3159.7167313637906
7,10892.529477221844
8,19294.634055555387
9,4013.2645694924336
10,34117.77726732373
11,14054.978385626067
12,14152.392044708287
13,11158.679692580206
14,9428.403095668204
15,8717.857223635358
16,15786.780592856438
17,4362.8917459348
18,9535.225854899974
19,6008.5428197418
20,4915.081611790351
21,6109.20208240778
22,18816.13988461013
23,7948.397931261398
24,4866.706087356638
25,8380.431642056186
26,3874.212830540987
27,13646.185823684064
28,14517.181926505758
29,9438.383390374844
30,5209.66504109647
31,5770.873622248283
32,6720.243004810546
33,4619.277548379144
34,16506.519644083928
35,2509.112959789617
36,14517.250099315606
37,5262.107965955966
38,8340.191896208871
39,4404.497677677587
40,7837.346820566536
41,7885.153411698558
42,7224.546385038665
43,6413.582840161837
44,8653.238268445708
45,11031.230271223683
46,3807.554413149464
47,4830.353251473862
48,5171.678049813002
49,16054.32679451067
50,5281.389882645055
51,5564.127434596397
52,5554.135556960513
53,5845.753268189402
54,5179.671846571667
55,7494.403341043864
56,6301.445182851801
57,7398.829323285243
58,4727.879639974864
59,4597.850297991319
60,5211.023671540614
61,6831.938368491999
62,15721.753075167238
63,7275.095415265044
64,4087.736444827053
65,10677.308334819629
66,13222.140961857858
67,5818.9889589571685
68,3230.9149517557826
69,2797.968077152213
70,5140.600913721673
71,5793.7661167051365
72,5628.5497972701805
73,4658.829002026635
74,5374.359222703733
75,12040.28602816582
76,5375.778845475004
77,5745.053431897659
78,3214.6151604923566
79,7095.358258075418
80,5017.111752453628
81,5443.192983103082
82,14867.12585983347
83,4566.716284038138
84,3681.202337401739
85,3896.8536318118336
86,2974.04287542252
87,5140.258513944005
88,5678.998371206025
89,5958.57200386287
90,3766.6858792989497
91,16246.5077677808
92,5385.865907175553
93,4355.140737775496
94,4218.126172422775
95,6027.352498685646
96,4916.20734231704
97,9213.77198998832
98,3410.706696462408
99,16216.747360931757
100,12993.124101846764
101,5884.4809677083385
102,2674.826229020077
103,5051.474925620595
104,5139.026460854445
105,9181.476770340394
106,7334.252538876111
107,3029.253255740938
108,4519.638936150822
109,3286.7475856474034
110,2858.119436701749
111,9044.913966161066
112,5657.4889904763895
113,4314.91549803478
114,2607.923940624421
115,14171.254405139882
116,4515.351261836285
117,7489.82105936597
118,7724.131004663141
119,3362.3863351921345
120,3944.647307081782
121,10969.168493940471
122,3662.452051255731
123,5832.807432189344
124,4832.305002061017
125,6808.756355296275
126,12978.734113747583
127,4930.277875791285
128,7569.470561597172
129,3742.594379634768
130,5357.499942683493
131,5856.885229142156
132,6130.442941729753
133,4568.597661967915
134,3110.856471432487
135,4129.256046109233
136,6372.7601299365215
137,15080.63301867797
138,3929.065534339121
139,16762.069246749863
140,7376.610638748455
141,9672.588661931324
142,4450.056210562991
143,6426.724126320456
144,4019.083532196047
145,4466.420560504111
146,5679.6046649803975
147,4587.573065011687
148,25552.55238844141
149,4247.318617313979
150,13360.443179991616
151,28272.93601767416
152,40593.684132255454
153,22910.700657878668
154,9088.256466508095
155,7567.018702983208
156,4552.971978035492
157,25903.731535811297
158,6303.288698666695
159,2987.1699914447536
160,17064.360239258498
161,5709.336549776544
162,8479.78335378783
163,5347.145753381542
164,14010.721780319038
165,6932.271866081218
166,22845.75299343967
167,6414.280611072887
168,21859.174255565944
169,16411.947910542134
170,17535.006004994615
171,6659.25527792434
172,2237.701998208572
173,22930.609444848546
174,17381.634627892057
175,2529.3828975502925
176,13269.621671249835
177,15777.980462362311
178,9754.826057681392
179,23843.071307661467
180,5663.708438725455
181,3432.467914554836
182,5511.7705433820165
183,3613.261925417469
184,7450.11843350835
185,3877.805296107111
186,20173.21659487106
187,4515.328951822636
188,16268.402466296762
189,5128.377355049479
190,7021.062266841548
191,18656.735337583905
192,9494.907686280894
193,16742.689977714475
194,6494.266076029053
195,19423.699050793723
196,18426.22120802681
197,16836.871040985883
198,11757.901634113734
199,22384.07534941296
200,19185.64156631307
201,18709.63122942136
202,17951.868464913034
203,14698.112877845586
204,23936.44273663861
205,4889.204134736482
206,5992.190095566556
207,4082.4897519602073
208,41423.435477340805
209,5360.172113982261
210,3878.5076695302514
211,15799.499370508194
212,5624.559199078407
213,16756.71941739995
214,20699.398465749968
215,6337.062989516428
216,17765.98680951573
217,4356.262439474931
218,10164.186081057198
219,21219.463112472225
220,4713.395930858464
221,18789.58905202479
222,7879.455830277171
223,23722.156858951217
224,14795.92500133024
225,15689.496691060802
226,20500.84861083553
227,27596.87271719559
228,8415.372327136833
229,19304.58297501328
230,21024.70840550726
231,9417.791595716895
232,20725.48028864446
233,15452.906177401585
234,16505.913237218694
235,17827.239185492843
236,14363.102816913108
237,14343.28489595128
238,17740.13038729496
239,16154.128395133745
240,15919.144193485196
241,14422.095778954716
242,15980.965765826912
243,17069.82180811177
244,16666.288882605677
245,6383.701619252132
246,4771.269057483435
247,17344.187766915908
248,15554.009021392734
249,7392.964545496399
250,15411.055403081851
251,7731.51416111112
252,16173.807561570737
253,16022.82290253302
254,17360.725919152523
255,21428.84223813308
256,7481.326234541521
257,23147.1667241743
258,19046.229864145847
259,19345.559145589526
260,15022.383913723328
261,15874.058547510902
262,20697.37656392288
263,18291.807589467026
264,17372.371482715065
265,19586.43749639172
266,22534.615215530303
267,19843.772106452943
268,20378.44776854323
269,20800.64337803486
270,20227.408191461105
271,26547.961116342347
272,23241.622402074736
273,20408.51907592901
274,25120.12736211625
275,22843.051143135188
276,19212.82369546524
277,21190.45842201856
278,6676.0902044641225
279,21937.52153884148
