episode,length,total_reward,avg_q,exploration
0,111,-298.09959968551993,-0.18192717,1.0
1,115,-116.22995247412472,-0.5875046,0.9950248756218908
2,93,-22.188078040257096,-0.6859734,0.990074503106359
3,87,-276.0664925277233,-0.36156532,0.98514875930981
4,80,-429.4426578879357,-0.32407615,0.9802475217013036
5,103,-249.69758584350348,-0.027143318,0.9753706683595064
6,73,-193.5129861831665,0.17779903,0.970518077969658
7,70,-93.88059612736106,0.29602438,0.9656896298205554
8,129,-79.6351017812267,0.15712872,0.9608852038015476
9,81,-128.314885340631,0.3761654,0.95610468039955
10,85,-26.77310747653246,0.3791987001895904,0.95134794069607
11,122,-145.16063563048374,0.6033357381820679,0.9466148663642489
12,156,-287.9158064639196,1.0061296224594116,0.9419053396659192
13,130,-101.40995997469872,1.0157287120819092,0.937219243448676
14,118,-145.5077798180282,0.9898519515991212,0.9325564611429612
15,133,-80.2606150796637,0.9782906770706176,0.9279168767591656
16,78,-181.076005987823,0.7365301847457886,0.923300374884742
17,88,-130.3214989900589,1.072282791137695,0.9187068406813352
18,82,-35.74023007322103,1.2533807754516602,0.914136159881926
19,171,-341.53256624378264,1.5643595457077026,0.909588218787986
20,103,-220.1337454188615,1.7943994998931885,0.9050629042666528
21,107,-58.302975011989474,1.751133918762207,0.9005601037479133
22,114,-108.13606023788452,2.2341766357421875,0.8960797052218044
23,72,-50.14794488810003,2.0838356018066406,0.8916215972356263
24,107,-108.75017076567748,2.1484920978546143,0.8871856688911706
25,137,-144.76223751198268,2.099752426147461,0.8827718098419609
26,154,-139.60962234809995,2.033178806304932,0.8783799102905084
27,75,-36.75233146548271,2.331688404083252,0.8740098609855806
28,120,-70.32531512901187,3.0160233974456787,0.8696615532194834
29,133,-34.010363556444645,3.009065628051758,0.8653348788253566
30,115,-329.24461719114333,3.207293033599853,0.8610297301744844
31,105,-125.44013074832036,3.4345703125,0.8567460001736164
32,107,-96.97830499708652,3.380596160888672,0.8524835822623049
33,93,-155.7318984027952,3.695231676101685,0.8482423704102537
34,85,-190.64594951085743,3.2673275470733643,0.8440222591146804
35,106,-113.92084694601364,3.627035617828369,0.839823143397692
36,129,-87.29901907686144,3.3330330848693848,0.8356449188036738
37,60,-89.504817340523,3.665594577789306,0.8314874813966904
38,117,-124.4257099851966,4.491593360900879,0.827350727757901
39,142,20.768916734843515,5.254349708557129,0.8232345549829861
40,149,-148.49423725903034,4.321702003479004,0.8191388606795883
41,120,-61.08127169683576,4.720917224884033,0.8150635429647646
42,77,-83.96920917741954,4.488937377929688,0.8110085004624524
43,75,-53.91570644360036,4.717234611511231,0.8069736323009478
44,108,-69.21917081810534,4.764116287231445,0.8029588381103959
45,124,-205.68542972020805,4.1615891456604,0.7989640180202945
46,118,-90.43936595786364,5.628144264221191,0.7949890726570096
47,71,-67.44360336987302,6.23264217376709,0.7910339031413032
48,91,-108.0853869765997,5.772582054138184,0.7870984110858739
49,100,-69.42610982060432,5.594188690185547,0.7831824985929094
50,115,-114.22857725713402,5.552244186401367,0.7792860682516513
51,181,-82.12186461500823,5.354911804199219,0.7754090231359715
52,96,-58.821654334664345,5.80300760269165,0.7715512668019617
53,129,-153.9165661726147,5.544321060180664,0.7677127032855341
54,104,-82.30642370134592,5.464577674865723,0.763893237100034
55,127,-121.57104486227036,6.371705055236816,0.7600927732338647
56,134,-70.78901255968958,6.9570183753967285,0.7563112171481242
57,85,-12.671699886210265,7.166332244873047,0.752548474774253
58,76,-100.2528058886528,7.228824615478516,0.7488044525116946
59,135,-98.56352975731716,6.548490047454834,0.7450790572255668
60,117,-78.26205709949136,6.554018974304199,0.7413721962443451
61,122,-251.71537275239825,6.732446193695068,0.7376837773575574
62,147,-68.2315675765276,6.860526084899902,0.73401370881349
63,112,-12.188978987047449,6.634915351867676,0.7303618993169055
64,118,-34.53563770279288,8.134753227233887,0.7267282580267718
65,71,22.476452622562647,8.247915267944336,0.7231126945540018
66,96,-82.45811732113361,7.943231105804443,0.719515118959206
