episode,absolute error,step
0,25690.02026905029,159
1,15804.582402303062,241
2,14412.04940011988,305
3,14063.75944056742,389
4,18123.54160653945,454
5,18985.655083653623,539
6,15352.216183765502,615
7,21916.277175120213,695
8,19615.03594755625,768
9,22596.46020241195,846
10,11020.513818001242,901
11,14354.923498921273,1024
12,15153.07628070059,1141
13,34455.4479396699,1231
14,9066.101432625122,1301
15,5353.678917803573,1389
16,20368.0878721358,1583
17,23530.846146376603,1877
18,14770.785861412352,2877
19,22635.830839479248,3385
20,16991.972805119633,3618
21,14061.638619362951,4618
22,24025.5998185414,4781
23,52895.55379306623,5004
24,15830.80238463827,5177
25,30296.7336934764,5877
26,16473.72821544071,6012
27,18778.784660050107,6138
28,21689.42506255917,6344
29,32501.98528934931,6498
30,19166.47190629865,6705
31,18339.805154998005,6834
32,6235.456947526248,6941
33,13406.506607085612,7092
34,36198.68000990828,7348
35,34370.01338664498,7572
36,21376.04683251332,7712
37,27585.931739833908,7852
38,19543.52681723596,7985
39,26292.51125079548,8121
40,15078.958767679032,8302
41,18152.11214632148,8391
42,25089.10048279184,8504
43,7832.421997039848,8616
44,9898.60606427147,8715
45,37707.11933574679,8818
46,18642.23761323865,8966
47,44501.93907419164,9073
48,5238.481971223157,9187
49,17805.372404031405,9320
50,39665.43036900115,9471
51,33522.64127572336,9566
52,53668.95090447081,9712
53,24692.78910161673,9865
54,12198.773791767804,9970
55,8036.145405371105,10087
56,17612.22714668935,10230
57,24022.39325331157,10341
58,5078.521045766867,10455
59,26105.69801039049,10596
60,21077.28323988817,10696
61,21313.439755816937,10831
62,8776.356184401067,10946
63,5691.816865441241,11052
64,5327.294424344117,11173
65,5605.690766403863,11289
66,14567.633090883655,11436
67,56171.44983723082,11879
68,31728.289499440405,12045
69,9697.734912480157,12214
70,55360.51293093563,12370
71,12838.816033878147,12463
72,15906.152007294091,13463
73,29958.038267242675,13943
74,24360.21767884343,14102
75,20624.217227647227,14296
76,38138.4932151249,14480
77,23305.952974247382,14645
78,11096.49805116174,14812
79,12223.624488373029,14992
80,28658.27822230293,15252
81,24421.89939644565,15599
82,7350.648443614957,15725
83,11447.720250699707,15950
84,26145.54436632877,16129
85,26027.50181201453,16557
86,19281.326326160503,16722
87,6439.134444697681,16848
88,7241.502091010617,17020
89,8622.381495046664,17178
90,7466.062325216869,17313
91,8616.18771423635,17478
92,13518.08940616598,17644
93,8197.568364386627,17799
94,8355.366125679477,17964
95,13999.932590938924,18136
96,15409.253011482017,18314
97,12573.753580391787,18455
98,7100.043352100248,18575
99,28720.023705897067,19575
100,17180.13697576725,19811
101,14049.582630647732,20811
102,20822.85378781611,21811
103,21394.796500627785,22019
104,16517.74545275861,23019
105,16594.021328520732,24019
106,16970.121084399863,25019
107,16909.74898993319,26019
108,16797.641870207844,27019
109,18205.149763137688,28019
110,15220.879004756394,29019
111,16005.895238348174,30019
112,15175.518973057242,31019
113,16446.257603929822,32019
114,15333.422495442284,33019
115,16959.212178276463,34019
116,18119.599035535048,35019
117,16215.908892717966,36019
118,16635.641937432712,37019
119,16638.279841741205,38019
120,12462.333060630352,39019
121,15389.295188240492,40019
122,17335.0073975425,41019
123,16412.08698258401,42019
124,16889.67928490598,43019
125,16990.801163728498,44019
126,16938.556365934834,45019
127,18783.69277714404,46019
128,17994.25306432811,47019
129,17436.82128248004,48019
130,21576.055301775672,49019
131,18560.335473555027,50019
132,23408.620360962013,51019
133,16487.817528074927,52019
134,16250.86113917217,53019
135,16342.704930970767,53613
136,17755.554653124364,54613
137,16252.138471409316,55613
138,16873.76519739278,56613
139,17827.72776535057,57613
140,18657.04053205081,58613
141,17697.367131510502,59613
142,19042.80213647532,60613
143,18513.333620359983,61613
144,16870.16567486942,62613
145,19795.515077647604,63613
146,17636.52693201664,64613
147,17103.4592808015,65613
148,16199.015942193948,66613
149,23636.59808501652,67613
150,17289.88968937625,67932
151,37930.42630468232,68850
152,22380.211631738715,69850
153,4658.574019092882,69903
154,19383.28035487144,70903
155,18324.108895949445,71903
156,18801.96717772085,72903
157,2865.8246620905425,72978
158,17488.860111506732,73978
159,19594.34369281218,74978
160,21048.01767369231,75978
161,21482.27451920233,76978
162,19273.95443394404,77978
163,20511.1548797444,78978
164,22150.72647267578,79978
165,23732.200338686216,80978
166,21007.361563786984,81978
167,28908.85538444976,82726
168,17683.925946193664,83726
169,17578.45242823732,84726
170,17984.55776594781,85726
171,19428.11148671344,86726
172,19346.569311196105,87726
173,20210.726897422443,88726
174,17308.246354040788,89726
175,14404.819963077029,90164
176,21645.09772432747,91164
177,7127.45151198048,91241
178,19536.55153515097,92241
179,20371.94281804414,93241
180,17644.19540020416,94241
181,18762.6698987384,95241
182,17647.325594062953,96241
183,15816.875397380016,96790
184,6857.042327876882,96860
185,20251.54462098022,97860
186,18415.66806514577,98860
187,18404.60321056427,99860
188,17610.877817371584,100860
189,17438.50218442874,101860
190,6438.5832816213815,101968
191,17351.27014296742,102968
192,19563.728794097624,103968
193,18811.34420187777,104968
194,15239.029840374227,105968
195,16565.02795762545,106968
196,11162.894407881508,107495
197,2894.0383320002447,107585
198,1946.018053858432,107677
199,7102.504670834591,107755
200,19535.2037649655,108755
201,17731.653539310453,109755
202,18228.412217363883,110509
203,992.7502918786578,110585
204,12614.346664071769,110991
205,16119.312017560207,111991
206,6249.810639250481,112091
207,12689.014299081264,112264
208,65553.01329673544,113162
209,1399.7662282271897,113243
210,4588.732646529759,113364
211,1510.4307120793303,113433
212,2042.672068611312,113521
213,13726.173751241591,113918
214,17345.343020889923,114458
215,1895.0858672151671,114555
216,15836.61420822538,115555
217,22889.54432979241,116537
218,12963.21271266858,117537
219,13676.098507732107,117899
220,9423.273838835144,118020
221,18660.292028155385,119020
222,5972.539391261923,119100
223,15139.896005788049,120100
224,28260.07072555808,121078
225,14400.579088463388,121247
226,12257.400503093397,121413
227,6767.312587021459,121515
228,14464.298975040312,121717
229,9685.093393495274,121872
230,23471.549808652777,122375
231,27139.829395068708,123164
232,26690.127058239057,124080
233,24868.381334765378,124779
234,9542.484474895047,124942
235,28872.35458606244,125888
236,15080.120451761006,126073
237,23887.30024907641,126370
238,10760.587454495884,126494
239,54519.31775892437,127313
240,24154.460533789177,127885
241,11235.72410814552,128141
242,18068.15811928198,128280
243,11687.890163266467,128409
244,9380.63261485555,128802
245,13885.587656090416,128945
246,28550.00451426331,129427
247,4213.2160848638905,129518
248,6504.793668841709,129624
249,8095.437902930405,129769
250,23779.816501487545,130100
251,12669.30599989715,130271
252,21179.281187420907,130705
253,9074.59422553759,130903
254,34690.5721322047,131860
255,16000.661029469697,132110
256,41628.68486021858,133086
257,13506.475536481,133363
258,24602.55431017608,133808
259,14114.775048753188,134242
260,34216.03650750762,134821
261,24963.80971780344,135116
262,21283.78616325769,136116
263,18579.13940425055,137116
264,11893.618863760856,138116
265,22625.31041906229,138806
266,19762.8362165282,139806
267,22686.95314311271,140184
