episode,length,step
0,158,159
1,82,241
2,64,305
3,84,389
4,65,454
5,85,539
6,76,615
7,80,695
8,73,768
9,78,846
10,55,901
11,123,1024
12,117,1141
13,90,1231
14,70,1301
15,88,1389
16,194,1583
17,294,1877
18,1000,2877
19,508,3385
20,233,3618
21,1000,4618
22,163,4781
23,223,5004
24,173,5177
25,700,5877
26,135,6012
27,126,6138
28,206,6344
29,154,6498
30,207,6705
31,129,6834
32,107,6941
33,151,7092
34,256,7348
35,224,7572
36,140,7712
37,140,7852
38,133,7985
39,136,8121
40,181,8302
41,89,8391
42,113,8504
43,112,8616
44,99,8715
45,103,8818
46,148,8966
47,107,9073
48,114,9187
49,133,9320
50,151,9471
51,95,9566
52,146,9712
53,153,9865
54,105,9970
55,117,10087
56,143,10230
57,111,10341
58,114,10455
59,141,10596
60,100,10696
61,135,10831
62,115,10946
63,106,11052
64,121,11173
65,116,11289
66,147,11436
67,443,11879
68,166,12045
69,169,12214
70,156,12370
71,93,12463
72,1000,13463
73,480,13943
74,159,14102
75,194,14296
76,184,14480
77,165,14645
78,167,14812
79,180,14992
80,260,15252
81,347,15599
82,126,15725
83,225,15950
84,179,16129
85,428,16557
86,165,16722
87,126,16848
88,172,17020
89,158,17178
90,135,17313
91,165,17478
92,166,17644
93,155,17799
94,165,17964
95,172,18136
96,178,18314
97,141,18455
98,120,18575
99,1000,19575
100,236,19811
101,1000,20811
102,1000,21811
103,208,22019
104,1000,23019
105,1000,24019
106,1000,25019
107,1000,26019
108,1000,27019
109,1000,28019
110,1000,29019
111,1000,30019
112,1000,31019
113,1000,32019
114,1000,33019
115,1000,34019
116,1000,35019
117,1000,36019
118,1000,37019
119,1000,38019
120,1000,39019
121,1000,40019
122,1000,41019
123,1000,42019
124,1000,43019
125,1000,44019
126,1000,45019
127,1000,46019
128,1000,47019
129,1000,48019
130,1000,49019
131,1000,50019
132,1000,51019
133,1000,52019
134,1000,53019
135,594,53613
136,1000,54613
137,1000,55613
138,1000,56613
139,1000,57613
140,1000,58613
141,1000,59613
142,1000,60613
143,1000,61613
144,1000,62613
145,1000,63613
146,1000,64613
147,1000,65613
148,1000,66613
149,1000,67613
150,319,67932
151,918,68850
152,1000,69850
153,53,69903
154,1000,70903
155,1000,71903
156,1000,72903
157,75,72978
158,1000,73978
159,1000,74978
160,1000,75978
161,1000,76978
162,1000,77978
163,1000,78978
164,1000,79978
165,1000,80978
166,1000,81978
167,748,82726
168,1000,83726
169,1000,84726
170,1000,85726
171,1000,86726
172,1000,87726
173,1000,88726
174,1000,89726
175,438,90164
176,1000,91164
177,77,91241
178,1000,92241
179,1000,93241
180,1000,94241
181,1000,95241
182,1000,96241
183,549,96790
184,70,96860
185,1000,97860
186,1000,98860
187,1000,99860
188,1000,100860
189,1000,101860
190,108,101968
191,1000,102968
192,1000,103968
193,1000,104968
194,1000,105968
195,1000,106968
196,527,107495
197,90,107585
198,92,107677
199,78,107755
200,1000,108755
201,1000,109755
202,754,110509
203,76,110585
204,406,110991
205,1000,111991
206,100,112091
207,173,112264
208,898,113162
209,81,113243
210,121,113364
211,69,113433
212,88,113521
213,397,113918
214,540,114458
215,97,114555
216,1000,115555
217,982,116537
218,1000,117537
219,362,117899
220,121,118020
221,1000,119020
222,80,119100
223,1000,120100
224,978,121078
225,169,121247
226,166,121413
227,102,121515
228,202,121717
229,155,121872
230,503,122375
231,789,123164
232,916,124080
233,699,124779
234,163,124942
235,946,125888
236,185,126073
237,297,126370
238,124,126494
239,819,127313
240,572,127885
241,256,128141
242,139,128280
243,129,128409
244,393,128802
245,143,128945
246,482,129427
247,91,129518
248,106,129624
249,145,129769
250,331,130100
251,171,130271
252,434,130705
253,198,130903
254,957,131860
255,250,132110
256,976,133086
257,277,133363
258,445,133808
259,434,134242
260,579,134821
261,295,135116
262,1000,136116
263,1000,137116
264,1000,138116
265,690,138806
266,1000,139806
267,378,140184
268,229,140413
269,250,140663
270,1000,141663
271,200,141863
272,1000,142863
273,498,143361
274,1000,144361
275,153,144514
276,355,144869
277,199,145068
278,925,145993
279,358,146351
280,1000,147351
281,1000,148351
282,1000,149351
283,749,150100
284,391,150491
285,179,150670
286,204,150874
287,115,150989
288,1000,151989
289,690,152679
290,1000,153679
291,266,153945
292,1000,154945
293,1000,155945
294,1000,156945
295,1000,157945
296,405,158350
297,1000,159350
298,77,159427
299,685,160112
300,311,160423
301,1000,161423
302,1000,162423
303,549,162972
304,1000,163972
305,704,164676
306,597,165273
307,1000,166273
308,1000,167273
309,1000,168273
310,196,168469
311,461,168930
312,1000,169930
313,1000,170930
314,1000,171930
315,1000,172930
316,1000,173930
317,1000,174930
318,1000,175930
319,1000,176930
320,1000,177930
321,1000,178930
322,189,179119
323,1000,180119
324,258,180377
325,1000,181377
326,1000,182377
327,1000,183377
328,1000,184377
329,1000,185377
330,1000,186377
331,1000,187377
332,1000,188377
333,1000,189377
334,1000,190377
335,1000,191377
336,1000,192377
337,1000,193377
338,1000,194377
339,1000,195377
340,1000,196377
341,1000,197377
