episode,total_reward,step
0,-365.290774255991,159
1,-423.7986440882087,241
2,-414.2267376184464,305
3,-398.4809454679489,389
4,-520.2446546554565,454
5,-463.6796061992645,539
6,-317.61045348644257,615
7,-493.8078049700707,695
8,-487.94455130398273,768
9,-522.9206863641739,846
10,-334.08297196030617,901
11,-236.7099932953716,1024
12,-240.8536680797115,1141
13,-755.9250500574708,1231
14,-186.69891222007573,1301
15,-102.12121402285992,1389
16,-308.322526557371,1583
17,-265.925763072446,1877
18,-133.51463755674197,2877
19,-224.27131011843449,3385
20,-229.5284508364275,3618
21,-144.83366614487022,4618
22,-359.2235480360687,4781
23,-664.2523625530303,5004
24,-264.0097294319421,5177
25,-308.2112821734336,5877
26,-279.8459022641182,6012
27,-327.65187326446176,6138
28,-282.2656112406985,6344
29,-472.8423299603164,6498
30,-263.8418197929859,6705
31,-271.1726116845384,6834
32,-150.42820206470788,6941
33,-222.44395061954856,7092
34,-437.8059561075642,7348
35,-434.6428719162941,7572
36,-350.1692588496953,7712
37,-400.211057735607,7852
38,-330.3500351458788,7985
39,-416.15802723541856,8121
40,-222.319937389344,8302
41,-435.5087523460388,8391
42,-480.1905082687736,8504
43,-184.9382686982863,8616
44,-230.7750788629055,8715
45,-728.2986212596297,8818
46,-300.8951894417405,8966
47,-867.4682444464415,9073
48,-115.66900157928468,9187
49,-303.22624867397826,9320
50,-623.893796342425,9471
51,-717.6596545884386,9566
52,-803.4841802138835,9712
53,-368.21943973284215,9865
54,-246.17717314630863,9970
55,49.57800812833011,10087
56,-271.2901584645733,10230
57,-467.2830592729151,10341
58,-85.14572166779544,10455
59,-390.6333518736064,10596
60,-435.1593812890351,10696
61,-357.12487879768014,10831
62,-209.43563341721887,10946
63,-87.9641242697835,11052
64,-40.929152358323336,11173
65,-74.57783210650086,11289
66,-248.74841210618607,11436
67,-579.3581983065233,11879
68,-405.4353339020163,12045
69,-96.96746614575386,12214
70,-757.9571194469463,12370
71,-357.0074528083205,12463
72,-151.47214659958263,13463
73,-342.07638675160706,13943
74,-402.38773062452674,14102
75,-261.7693792227656,14296
76,-490.63204232417047,14480
77,-330.34881874360144,14645
78,-135.41291594214272,14812
79,-164.05226019397378,14992
80,-337.7882853937336,15252
81,-284.7737075909972,15599
82,-115.88809707341716,15725
83,44.49719987716526,15950
84,-365.4136258624494,16129
85,-271.2422583522275,16557
86,-302.69392677024007,16722
87,-37.32223097607493,16848
88,-47.12597406562418,17020
89,-48.98885126039386,17178
90,-31.790118232369423,17313
91,-91.01084059884306,17478
92,-204.0873331259936,17644
93,-91.75453287921846,17799
94,-97.74725013173884,17964
95,-220.9035126306117,18136
96,-204.53498002048585,18314
97,-218.3326916033402,18455
98,-12.073437370359898,18575
99,-64.13784359495912,19575
100,-228.42120312713087,19811
101,-137.5597650082782,20811
102,-204.88016152067576,21811
103,-273.84176585264504,22019
104,-142.95110902853776,23019
105,-166.90750776277855,24019
106,-94.52337461241405,25019
107,-143.5630806357367,26019
108,-125.54186481698524,27019
109,-121.19356301566586,28019
110,-71.87749855534639,29019
111,-129.57317821832476,30019
112,-86.18739247898338,31019
113,-97.1758077104023,32019
114,-144.24239947726892,33019
115,-139.884940224234,34019
116,-101.56278806854972,35019
117,-137.93493462447077,36019
118,-148.29871940717567,37019
119,-155.5708105377853,38019
120,-89.2064404207922,39019
121,-143.10999752047064,40019
122,-156.79711270908592,41019
123,-74.85420102952048,42019
124,-91.74153140140696,43019
125,-87.75849530575215,44019
126,-138.50024709955323,45019
127,-124.20126867626097,46019
128,-46.22080564382486,47019
129,-147.1361022980418,48019
130,-136.47295317193493,49019
131,-171.07216503395466,50019
132,-221.45326984114945,51019
133,-121.65014829370192,52019
134,-133.88025093497708,53019
135,-78.41802915208973,53613
136,-149.31607160298154,54613
137,-128.988776643062,55613
138,-105.92484732624143,56613
139,-145.5437952845532,57613
140,-111.83397080237046,58613
141,-87.00985726574436,59613
142,-79.29807625955436,60613
143,-139.77842796227196,61613
144,-148.18710089940578,62613
145,-121.13300821906888,63613
146,-142.462004319852,64613
147,-107.1625510926824,65613
148,-115.892935275333,66613
149,-175.49894029274583,67613
150,-80.27471019886434,67932
151,-308.1824500523508,68850
152,-106.40614524105332,69850
153,-106.8569292202592,69903
154,-172.607806803142,70903
155,-147.5738290385052,71903
