episode,absolute error
0,4977.261966225343
1,5754.353443552576
2,4663.677786500157
3,4353.360708035408
4,5226.535109561995
5,5259.745539371395
6,10806.174590296849
7,10842.919201858262
8,5039.857641498927
9,1751.4586612298258
10,3553.161535970283
11,1423.3967797738217
12,2793.6699902931778
13,1961.2949018724164
14,1958.23394211278
15,1232.939349297147
16,6741.161551358722
17,2235.425721339406
18,2013.9686314117728
19,1282.4061603918312
20,5982.5231460751975
21,5768.623949560385
22,5040.152640352388
23,2414.306596111968
24,2255.867978909213
25,3293.262859122407
26,7418.519213937774
27,7066.553808290695
28,1251.8778462297146
29,6925.783158351505
30,7280.988291140846
31,6284.437539838061
32,7157.495183147913
33,6647.669633867538
34,6466.32206953505
35,6669.175797007004
36,7008.930734108116
37,6562.995330351238
38,6405.159174014618
39,7008.189611540779
40,6751.369115167157
41,6341.228051354807
42,6563.283978700785
43,7302.268262184499
44,6006.772009203255
45,6371.653614029142
46,6331.836335738818
47,6542.901829271656
48,6151.883948728261
49,6213.008561159553
50,6337.082802083942
51,6188.078594314838
52,6399.52238501537
53,6287.303759241047
54,6396.200423852743
55,6585.436156320715
56,6253.591465030838
57,6422.844062516882
58,6052.457533363645
59,6418.987800126618
60,5815.308151017444
61,6339.046579487461
62,6381.612964237565
63,6439.281976964005
64,5933.533021936461
65,6449.433141437971
66,6339.49641820541
67,6715.444912672191
68,6536.333329402657
69,6367.345219012293
70,6491.0285328733
71,6442.342423241918
72,6649.941230488687
73,6253.871078657767
74,6524.320645062665
75,6191.343442179311
76,6696.930589395404
77,6734.99706567342
78,6687.389322147149
79,6183.918001211651
80,6661.824226658538
81,6447.911567064258
82,5867.878870123565
83,6224.040213809064
84,6488.806224195702
85,6055.625601643853
86,5822.766895079274
87,6243.508114878268
88,5781.06273149945
89,6213.45720031874
90,6196.367932221922
91,6388.304409801269
92,6337.635599488957
93,6605.624263378249
94,5829.185451374151
95,6393.874419232453
96,5798.571263659528
97,6340.749749289245
98,6257.429339665427
99,5456.03576380077
100,5785.701182481928
101,6444.755408824653
102,6498.010954886502
103,5733.602355562774
104,6416.219391806463
105,6775.79206524967
106,5865.116121408389
107,5695.425620529481
108,6393.113210464167
109,5824.641632480143
110,6291.484662662426
111,6679.638989659296
112,6531.786019068827
113,6059.753521266653
114,6657.392865004018
115,6590.473601002649
116,6497.539201889258
117,5567.042177357263
118,6241.766211983327
119,5741.026822805832
120,6323.985479244294
121,5847.365202770156
122,6289.302417160579
123,6454.527784976403
124,6509.475741589534
125,6320.631565389401
126,6297.915919042639
127,6310.236060806019
128,6337.181880413682
129,5957.43719642342
130,6582.412059784412
131,6127.855177738268
132,6542.887781417183
133,6390.296833156674
134,6276.283122235131
135,6296.831272635419
136,6399.519648571366
137,6427.164670244467
138,6469.020173692475
139,5768.4712430512855
140,6215.602939866836
141,5767.270752706449
142,6279.768761225075
143,6259.888559842063
144,6520.357512218328
145,6255.675384405732
146,6150.868921201501
147,6324.2587671889805
148,6253.914522531198
149,6679.392631721766
150,6314.185384712502
151,6424.544242819842
152,6206.028384985123
153,6583.207908740975
154,6339.932559202794
155,5639.777661169542
156,6300.896898878642
157,6369.710896000881
158,6527.326166852929
159,6376.715164768402
160,6582.747816284572
161,6699.277276894728
162,6510.684727914575
163,5917.046218054294
164,6385.686142830011
165,6621.522284913782
166,6369.248057212706
167,6491.270124403899
168,6476.125253780531
169,6598.841746647957
170,6362.743072699354
171,6565.4769923082085
172,6101.721721250949
173,6451.40366605383
174,6126.187161545167
175,6286.104536006795
176,6489.540031828684
177,6259.808253653114
178,6389.465599301281
179,6675.562905832261
180,6581.466320789684
181,6387.237097997221
182,6125.025592805894
183,5951.166136747494
184,6382.310758475458
185,6536.276679030653
186,6608.229698399712
187,6505.45549669818
188,5991.47245657391
189,6202.314007699391
190,6341.615308351628
191,5532.206459608149
192,6431.045874916153
193,6363.282703958758
194,6591.193299306632
195,6070.537645287183
196,6696.953154351639
197,6371.903439663469
198,6146.701937794921
199,5928.773306430495
200,6216.710179426247
201,6328.1006564555055
202,6271.299519563496
203,6572.904927339006
204,6098.215370997768
205,6832.18850085366
206,6101.3688381263655
207,7099.2105218249135
208,6233.445859159811
209,6373.371967029342
210,6539.15855292678
211,6334.192417806607
212,6115.87658162507
213,6572.180908113645
214,6284.852409529687
215,6151.2943107986375
216,6352.375640394729
217,5913.86212656964
218,6241.570822035242
219,6396.779686107588
220,5838.097024781981
221,6471.174785762505
222,6028.709418596502
223,6475.02869587635
224,6275.657738997279
225,6510.830294618907
226,6517.283865569972
227,6418.397691268269
228,6216.562793724925
229,6438.206971600899
230,6837.001912886165
231,6193.045513033268
232,6083.473598781121
233,6429.044064793679
234,5905.282825884927
235,6546.052364677018
236,6451.094565915912
237,6129.657950179299
238,6169.522312643185
239,6271.096761626237
240,6253.48213561363
241,5882.347388217608
242,6189.768322923368
243,5968.384472367424
244,6955.623030911897
245,6340.203861729643
246,6333.069117285598
247,6245.772076391734
248,5927.305326508309
249,6955.255223172895
250,5780.544894860714
251,6250.091967068822
252,6396.218644239032
253,6378.469625281252
254,6111.190691961137
255,6358.15368093806
256,5748.085009788161
257,6283.998757272951
258,6413.782663863951
259,6263.242480012044
260,6281.198893245684
261,5772.1638755188405
262,6267.023854967506
263,6329.650786948973
264,6086.48950115843
265,24051.85044426568
266,5483.434259239938
267,6419.9433913215225
268,6336.75252181866
269,6340.318985850924
270,6034.516164775524
271,6254.724829531581
272,6387.979806154066
273,5890.180457063694
274,6304.918963138023
275,6242.400375580981
276,6317.89814295122
277,5625.890710724292
278,6306.652617312238
279,6111.534973455915
280,6239.001910684351
281,6205.341503038151
282,6092.0659509373845
283,6210.115058150762
284,6274.324747379661
285,5967.523006639595
286,6083.602076771781
287,6078.622775345549
288,6171.036657770721
289,5761.4612709660505
290,6161.871630143508
291,6184.6178755699875
292,6205.847011525945
293,5395.040165306669
294,6119.652785123574
295,5691.445666440413
296,6040.977615326498
297,5673.138270221301
298,5704.7554699783195
299,5532.853499758955
