episode,avg_q
0,0.021363711
1,-0.10633139
2,-0.2297275
3,-0.2719778
4,-0.28788075
5,-0.5651922
6,-0.62767863
7,-0.66259897
8,-0.65989894
9,-0.64632696
10,-0.9861444234848022
11,-0.9591068029403688
12,-0.9426921606063844
13,-0.9020397067070008
14,-0.9217735528945924
15,-1.2123401165008545
16,-1.1803289651870728
17,-1.165790557861328
18,-1.1662828922271729
19,-1.1651794910430908
20,-1.4206255674362185
21,-1.3926955461502075
22,-1.433904767036438
23,-1.4231914281845093
24,-1.4123880863189695
25,-1.6503288745880127
26,-1.6335185766220093
27,-1.6388845443725586
28,-1.6288979053497314
29,-1.6201759576797483
30,-1.6725289821624756
31,-1.825130105018616
32,-1.842079401016236
33,-1.7973365783691406
34,-1.7975209951400757
35,-1.8118274211883545
36,-1.800506591796875
37,-1.9865766763687127
38,-1.9814119338989256
39,-1.9820235967636108
40,-1.9810857772827148
41,-2.0041372776031494
42,-1.9911750555038448
43,-1.9542148113250728
44,-2.042206287384033
45,-2.0857839584350586
46,-2.1157467365264893
47,-2.1218128204345703
48,-2.1456122398376465
49,-2.1574037075042725
50,-2.15037202835083
51,-2.144179105758667
52,-2.2659687995910645
53,-2.2426533699035645
54,-2.21012282371521
55,-2.261932849884033
56,-2.2724175453186035
57,-2.2967777252197266
58,-2.2901253700256348
59,-2.425936460494995
60,-2.416428327560425
61,-2.413865804672241
62,-2.406036853790283
63,-2.453922748565674
64,-2.410536527633667
65,-2.445520401000977
66,-2.497929096221924
67,-2.492226839065552
68,-2.529784679412842
69,-2.5277225971221924
70,-2.544407367706299
71,-2.5649056434631348
72,-2.517186164855957
73,-2.547964572906494
74,-2.601334810256958
75,-2.598753929138184
76,-2.631944179534912
77,-2.660301923751831
78,-2.674610614776612
79,-2.64133882522583
80,-2.6543896198272705
81,-2.702978134155273
82,-2.762915134429932
83,-2.735055923461914
84,-2.764951705932617
85,-2.773855686187744
86,-2.77423357963562
87,-2.7796008586883545
88,-2.773442268371582
89,-2.805259943008423
90,-2.779792070388794
91,-2.8429863452911377
92,-2.864254713058472
93,-2.870458602905273
94,-2.889189481735229
95,-2.86214280128479
96,-2.8949391841888428
97,-2.9127018451690674
98,-2.924163818359375
99,-2.962097883224488
100,-2.985447645187378
101,-2.983363628387451
102,-2.9697585105896
103,-2.965071439743042
104,-2.976516008377075
105,-3.002100706100464
106,-3.028486967086792
107,-3.0542569160461426
108,-3.050404787063598
109,-3.0246059894561768
110,-3.094928026199341
111,-3.15138578414917
112,-3.1282010078430176
113,-3.145293951034546
114,-3.233839511871338
115,-3.211916446685791
116,-3.222339630126953
117,-3.2387232780456543
118,-3.2745201587677
119,-3.263495922088623
120,-3.20365834236145
121,-3.283268451690674
122,-3.280515193939209
123,-3.3543179035186768
124,-3.3056716918945312
125,-3.322449445724488
126,-3.3379814624786377
127,-3.358882188796997
128,-3.3490378856658936
129,-3.3638739585876465
130,-3.4316792488098145
131,-3.460664749145508
132,-3.427732467651367
133,-3.4675185680389404
134,-3.4194138050079346
135,-3.3725616931915283
136,-3.457326412200928
137,-3.503805637359619
138,-3.4989261627197266
139,-3.516941785812378
140,-3.4932873249053955
141,-3.5156502723693848
142,-3.5040786266326904
143,-3.5323002338409424
144,-3.6055407524108887
145,-3.641218662261963
146,-3.582246780395508
147,-3.6364223957061768
148,-3.6702823638916016
149,-3.623666763305664
150,-3.604628086090088
151,-3.657435655593872
152,-3.6753220558166495
153,-3.6661593914031982
154,-3.707555055618286
155,-3.727759122848511
156,-3.7279999256134033
157,-3.707075119018554
158,-3.733657836914064
159,-3.737537384033203
160,-3.807202100753784
161,-3.7880489826202393
162,-3.80065393447876
163,-3.845689296722412
164,-3.815521955490112
165,-3.8880615234375
166,-3.9020283222198486
167,-3.959560394287109
168,-3.9825425148010254
169,-4.007881164550781
170,-3.995866060256958
171,-3.999609470367432
172,-3.970557451248169
173,-3.9868221282958975
174,-4.070439338684082
175,-4.04631233215332
176,-4.034074306488037
177,-4.041345596313477
178,-4.0188727378845215
179,-4.089353084564209
180,-4.128188133239746
181,-4.073669910430908
182,-4.137380599975586
183,-4.143990516662598
184,-4.13022518157959
185,-4.07576322555542
186,-4.160437107086182
187,-4.187743186950684
188,-4.217691421508789
189,-4.184079170227051
190,-4.227080345153809
191,-4.238167762756348
192,-4.1947431564331055
193,-4.15165376663208
194,-4.308695316314697
195,-4.266468048095703
196,-4.276815891265869
197,-4.294003486633301
198,-4.269721984863281
199,-4.336298942565918
200,-4.305702209472656
201,-4.392704010009766
202,-4.433535575866699
203,-4.407749176025391
204,-4.365790367126465
205,-4.41066837310791
206,-4.332132816314697
207,-4.473053932189941
208,-4.447447776794434
209,-4.434200763702393
210,-4.464267730712891
211,-4.441967964172363
212,-4.484858989715576
213,-4.3781328201293945
214,-4.546385765075684
215,-4.54763650894165
216,-4.645334720611572
217,-4.574281215667725
218,-4.594680309295654
219,-4.494665622711182
220,-4.557389259338379
221,-4.5095086097717285
222,-4.636797904968262
223,-4.628225803375244
224,-4.643570423126221
225,-4.636165618896484
226,-4.670613765716553
227,-4.602169990539551
228,-4.645447731018066
229,-4.742869377136231
230,-4.728862762451172
231,-4.758323669433594
232,-4.7219743728637695
233,-4.769872665405273
234,-4.738475799560547
235,-4.673430442810059
236,-4.8289570808410645
237,-4.839660167694092
238,-4.797755718231201
239,-4.871749877929688
240,-4.813765525817871
241,-4.760674476623535
242,-4.898815155029297
243,-4.858363151550293
244,-4.945413112640381
245,-4.906888008117676
246,-4.980616569519043
247,-4.952715396881104
248,-4.799628734588623
249,-4.790518760681152
250,-4.9653825759887695
251,-4.992274284362793
252,-4.95568323135376
253,-4.980971336364746
254,-4.943250179290772
255,-5.005444049835205
256,-4.948103904724121
257,-4.92691707611084
258,-5.1276469230651855
259,-5.049622535705566
260,-5.050833225250244
261,-5.007427215576172
262,-5.041809558868408
263,-5.119805812835693
264,-4.890920639038086
265,-5.144010066986084
266,-5.233039855957031
267,-5.261329650878906
268,-5.167901515960693
269,-5.112398624420166
270,-5.141489028930664
271,-5.202086448669434
272,-5.264347076416016
273,-5.150124549865723
274,-5.108099937438965
275,-5.235487461090088
276,-5.299193382263184
277,-5.235919952392578
278,-5.194708824157715
279,-5.259768486022949
280,-5.229636669158936
281,-5.230225086212158
282,-5.315011501312256
283,-5.329892158508301
284,-5.260191917419434
285,-5.127967357635498
286,-5.216958045959473
287,-5.3757100105285645
288,-5.283576488494873
289,-5.295340061187744
290,-5.174218654632568
291,-5.268149375915527
292,-5.242464065551758
293,-5.378541469573975
294,-5.3317084312438965
295,-5.423133373260498
296,-5.297392845153809
297,-5.360530853271484
298,-5.309886455535889
299,-5.2320709228515625
