episode,exploration
0,1.0
1,0.9523809523809524
2,0.9070294784580498
3,0.863837598531476
4,0.8227024747918819
5,0.7835261664684589
6,0.7462153966366274
7,0.7106813301301212
8,0.6768393620286869
9,0.644608916217797
10,0.6139132535407591
11,0.5846792890864372
12,0.5568374181775592
13,0.5303213506452944
14,0.5050679529955184
15,0.4810170980909699
16,0.4581115219913999
17,0.436296687610857
18,0.4155206548674829
19,0.3957339570166504
20,0.3768894828730003
21,0.3589423646409527
22,0.3418498710866216
23,0.3255713057967825
24,0.31006791028265
25,0.2953027716977619
26,0.2812407349502494
27,0.2678483190002375
28,0.2550936371430833
29,0.2429463210886508
30,0.2313774486558579
31,0.2203594749103408
32,0.209866166581277
33,0.1998725396012161
34,0.1903547996202058
35,0.181290285352577
36,0.1726574146215019
37,0.1644356329728589
38,0.1566053647360561
39,0.1491479664152915
40,0.1420456823002776
41,0.1352816021907406
42,0.1288396211340387
43,0.1227044010800368
44,0.1168613343619398
45,0.1112965089161332
46,0.105996675158222
47,0.1009492144364019
48,0.0961421089870495
49,0.0915639133209995
50,0.0872037269723804
51,0.0830511685451242
52,0.0790963509953564
53,0.0753298580908156
54,0.071742721991253
55,0.0683264018964314
56,0.065072763710887
57,0.0619740606770353
58,0.0590229149305098
59,0.0562122999338188
60,0.0535355237464941
61,0.0509862130918991
62,0.0485582981827611
63,0.0462459982692963
64,0.0440438078755203
65,0.0419464836909717
66,0.0399490320866397
67,0.0380466972253711
68,0.0362349497384487
69,0.0345094759413797
70,0.0328661675632188
71,0.0313011119649702
72,0.0298105828237812
73,0.028391031260744
74,0.0270390773911847
75,0.0257515022773188
76,0.0245252402641131
77,0.0233573716801077
78,0.0222451158858169
79,0.0211858246531589
80,0.0201769758601514
81,0.0192161674858584
82,0.0183011118912937
83,0.0174296303726607
84,0.0165996479739626
85,0.015809188546631
86,0.0150563700444105
87,0.0143394000422957
88,0.013656571468853
89,0.0130062585417648
90,0.0123869128969189
91,0.0117970599018275
92,0.0112352951445976
93,0.0107002810900929
94,0.0101907438953266
95,0.01
96,0.01
97,0.01
98,0.01
99,0.01
100,0.01
101,0.01
102,0.01
103,0.01
104,0.01
105,0.01
106,0.01
107,0.01
108,0.01
109,0.01
110,0.01
111,0.01
112,0.01
113,0.01
114,0.01
115,0.01
116,0.01
117,0.01
118,0.01
119,0.01
120,0.01
121,0.01
122,0.01
123,0.01
124,0.01
125,0.01
126,0.01
127,0.01
128,0.01
129,0.01
130,0.01
131,0.01
132,0.01
133,0.01
134,0.01
135,0.01
136,0.01
137,0.01
138,0.01
139,0.01
140,0.01
141,0.01
142,0.01
143,0.01
144,0.01
145,0.01
146,0.01
147,0.01
148,0.01
149,0.01
150,0.01
151,0.01
152,0.01
153,0.01
154,0.01
155,0.01
156,0.01
157,0.01
158,0.01
159,0.01
160,0.01
161,0.01
162,0.01
163,0.01
164,0.01
165,0.01
166,0.01
167,0.01
168,0.01
169,0.01
170,0.01
171,0.01
172,0.01
173,0.01
174,0.01
175,0.01
176,0.01
177,0.01
178,0.01
179,0.01
180,0.01
181,0.01
182,0.01
183,0.01
184,0.01
185,0.01
186,0.01
187,0.01
188,0.01
189,0.01
190,0.01
191,0.01
192,0.01
193,0.01
194,0.01
195,0.01
196,0.01
197,0.01
198,0.01
199,0.01
200,0.01
201,0.01
202,0.01
203,0.01
204,0.01
205,0.01
206,0.01
207,0.01
208,0.01
209,0.01
210,0.01
211,0.01
212,0.01
213,0.01
214,0.01
215,0.01
216,0.01
217,0.01
218,0.01
219,0.01
220,0.01
221,0.01
222,0.01
223,0.01
224,0.01
225,0.01
226,0.01
227,0.01
228,0.01
229,0.01
230,0.01
231,0.01
232,0.01
233,0.01
234,0.01
235,0.01
236,0.01
237,0.01
238,0.01
239,0.01
240,0.01
241,0.01
242,0.01
243,0.01
244,0.01
245,0.01
246,0.01
247,0.01
248,0.01
249,0.01
250,0.01
251,0.01
252,0.01
253,0.01
254,0.01
255,0.01
256,0.01
257,0.01
258,0.01
259,0.01
260,0.01
261,0.01
262,0.01
263,0.01
264,0.01
265,0.01
266,0.01
267,0.01
268,0.01
269,0.01
270,0.01
271,0.01
272,0.01
273,0.01
274,0.01
275,0.01
276,0.01
277,0.01
278,0.01
279,0.01
280,0.01
281,0.01
282,0.01
283,0.01
284,0.01
285,0.01
286,0.01
287,0.01
288,0.01
289,0.01
290,0.01
291,0.01
292,0.01
293,0.01
294,0.01
295,0.01
296,0.01
297,0.01
298,0.01
299,0.01
