episode,absolute error,step
0,11318.358132020156,831
1,7407.181043831753,972
2,11930.465329864142,1699
3,8108.012006823307,1908
4,13595.243226295152,2822
5,6867.376782320894,3821
6,8174.438711914155,4106
7,7134.149988124282,5105
8,8113.176228749868,6104
9,7768.5031148452,7103
10,8942.633906426589,8102
11,7028.236460771584,9101
12,12516.72873197233,9914
13,8624.554585627255,10913
14,7866.231578649052,11912
15,8207.252681060425,12911
16,9253.289566297582,13910
17,10038.160719156269,14497
18,7941.121431027995,15496
19,8318.565932310054,16495
20,11643.732765398488,17299
21,7693.666487250988,18298
22,9008.532409951127,18782
23,9090.89607317068,19459
24,6355.528897533966,19652
25,8769.565190600697,20651
26,9366.355361450964,21650
27,7507.683080470345,21862
28,7013.204457660955,22036
29,7336.207076246615,23035
30,9364.517692772512,24034
31,8841.574243628645,25033
32,9173.814723269868,26032
33,6447.877035236224,26248
34,7064.554117996041,26535
35,8287.00775847138,27534
36,8002.594140653791,28016
37,12311.417107119503,28860
38,9026.3678691908,29389
39,7695.396195946809,30388
40,8336.629640561585,31387
41,11368.106465022956,32122
42,6756.608657858439,33121
43,6920.440609018227,34120
44,9175.370431571817,34759
45,12750.886900732936,35735
46,8110.720802466039,36234
47,8057.775756341798,36558
48,7728.40175012622,36761
49,8072.150722773313,37760
50,6088.60398253836,37879
51,6715.116372296806,38878
52,9250.938046083676,39397
53,8002.213468266344,39714
54,8228.179258636006,40713
55,8685.834803471595,41712
56,6172.019409195043,42711
57,7716.404844361949,43070
58,8231.325519823891,44069
59,7039.848257760298,45068
60,9870.715542672488,45623
61,9072.642125209146,46133
62,8852.442682562405,47132
63,6972.253126495471,48131
64,8209.489345681428,48499
65,11237.209124733952,49227
66,8145.690577097669,50226
67,7802.231353071696,51225
68,8699.660847187952,52224
69,10980.584942555071,53223
70,7885.443447003066,54222
71,9026.940355230625,55221
72,8335.17812336381,56220
73,10610.40204232455,56708
74,11554.918043995152,57460
75,15095.928775147411,58431
76,8527.22668918692,59430
77,8049.658254975046,60429
78,13723.5102007628,61319
79,15732.425926792315,62318
80,8902.878603732037,62474
81,13129.639036729675,63364
