episode,length,step
0,830,831
1,141,972
2,727,1699
3,209,1908
4,914,2822
5,999,3821
6,285,4106
7,999,5105
8,999,6104
9,999,7103
10,999,8102
11,999,9101
12,813,9914
13,999,10913
14,999,11912
15,999,12911
16,999,13910
17,587,14497
18,999,15496
19,999,16495
20,804,17299
21,999,18298
22,484,18782
23,677,19459
24,193,19652
25,999,20651
26,999,21650
27,212,21862
28,174,22036
29,999,23035
30,999,24034
31,999,25033
32,999,26032
33,216,26248
34,287,26535
35,999,27534
36,482,28016
37,844,28860
38,529,29389
39,999,30388
40,999,31387
41,735,32122
42,999,33121
43,999,34120
44,639,34759
45,976,35735
46,499,36234
47,324,36558
48,203,36761
49,999,37760
50,119,37879
51,999,38878
52,519,39397
53,317,39714
54,999,40713
55,999,41712
56,999,42711
57,359,43070
58,999,44069
59,999,45068
60,555,45623
61,510,46133
62,999,47132
63,999,48131
64,368,48499
65,728,49227
66,999,50226
67,999,51225
68,999,52224
69,999,53223
70,999,54222
71,999,55221
72,999,56220
73,488,56708
74,752,57460
75,971,58431
76,999,59430
77,999,60429
78,890,61319
79,999,62318
80,156,62474
81,890,63364
82,147,63511
83,270,63781
84,999,64780
85,999,65779
86,504,66283
87,85,66368
88,999,67367
89,999,68366
90,438,68804
91,929,69733
92,999,70732
93,999,71731
94,999,72730
95,999,73729
96,544,74273
97,999,75272
98,999,76271
99,999,77270
100,999,78269
101,587,78856
102,999,79855
103,999,80854
104,999,81853
105,999,82852
106,886,83738
107,999,84737
108,999,85736
109,999,86735
110,928,87663
111,741,88404
112,999,89403
113,999,90402
114,999,91401
115,187,91588
116,511,92099
117,999,93098
118,467,93565
119,999,94564
120,346,94910
121,999,95909
122,999,96908
123,888,97796
124,982,98778
125,999,99777
126,350,100127
127,999,101126
128,999,102125
129,999,103124
130,719,103843
131,999,104842
132,943,105785
133,499,106284
134,999,107283
135,999,108282
136,380,108662
137,999,109661
138,901,110562
139,999,111561
140,999,112560
141,999,113559
142,410,113969
143,999,114968
144,999,115967
145,841,116808
146,222,117030
147,999,118029
148,288,118317
149,977,119294
150,584,119878
151,999,120877
152,999,121876
153,721,122597
154,973,123570
155,999,124569
156,399,124968
157,647,125615
158,219,125834
159,509,126343
160,999,127342
161,999,128341
162,999,129340
163,923,130263
164,999,131262
165,999,132261
166,999,133260
167,999,134259
168,999,135258
169,999,136257
170,999,137256
171,999,138255
172,999,139254
173,999,140253
174,999,141252
175,999,142251
176,665,142916
177,999,143915
178,999,144914
179,999,145913
180,999,146912
181,662,147574
182,999,148573
183,999,149572
184,999,150571
185,999,151570
186,268,151838
187,999,152837
188,999,153836
189,999,154835
190,999,155834
191,999,156833
192,999,157832
193,614,158446
194,999,159445
195,136,159581
196,119,159700
197,913,160613
198,999,161612
199,373,161985
200,451,162436
201,999,163435
202,999,164434
203,999,165433
204,999,166432
205,957,167389
206,304,167693
207,679,168372
208,597,168969
209,999,169968
210,999,170967
211,999,171966
212,999,172965
213,999,173964
214,999,174963
215,999,175962
216,999,176961
217,712,177673
218,999,178672
219,737,179409
220,392,179801
221,999,180800
222,999,181799
223,844,182643
224,999,183642
225,423,184065
226,999,185064
227,751,185815
228,999,186814
229,999,187813
230,999,188812
231,999,189811
232,999,190810
233,400,191210
234,999,192209
235,999,193208
236,999,194207
237,999,195206
238,999,196205
239,903,197108
240,415,197523
241,138,197661
242,999,198660
243,788,199448
244,802,200250
245,999,201249
246,999,202248
247,163,202411
248,999,203410
249,999,204409
250,999,205408
251,818,206226
252,406,206632
253,999,207631
254,999,208630
255,999,209629
256,638,210267
257,999,211266
258,999,212265
259,999,213264
260,473,213737
261,615,214352
262,307,214659
263,552,215211
264,999,216210
265,999,217209
266,999,218208
267,999,219207
268,999,220206
269,999,221205
270,999,222204
271,999,223203
272,999,224202
273,513,224715
274,528,225243
275,137,225380
276,274,225654
277,999,226653
278,999,227652
279,618,228270
280,999,229269
281,999,230268
282,999,231267
283,999,232266
284,999,233265
285,999,234264
286,999,235263
287,999,236262
288,999,237261
289,992,238253
290,606,238859
291,999,239858
292,695,240553
293,999,241552
294,932,242484
295,999,243483
296,955,244438
297,999,245437
298,999,246436
299,999,247435
300,999,248434
301,999,249433
302,999,250432
303,999,251431
304,531,251962
305,999,252961
306,806,253767
307,287,254054
308,104,254158
309,341,254499
310,159,254658
311,114,254772
312,100,254872
313,93,254965
314,115,255080
315,122,255202
316,108,255310
317,280,255590
318,111,255701
319,333,256034
320,116,256150
321,643,256793
322,112,256905
323,115,257020
324,118,257138
325,106,257244
326,112,257356
327,105,257461
328,112,257573
329,120,257693
330,141,257834
331,107,257941
332,116,258057
333,118,258175
334,77,258252
335,419,258671
336,999,259670
337,397,260067
338,118,260185
339,391,260576
340,116,260692
341,999,261691
342,431,262122
343,67,262189
344,116,262305
345,68,262373
346,67,262440
347,155,262595
348,148,262743
349,837,263580
350,143,263723
351,125,263848
352,75,263923
353,92,264015
354,231,264246
355,86,264332
356,105,264437
357,210,264647
358,154,264801
359,143,264944
360,94,265038
361,521,265559
362,140,265699
363,326,266025
364,69,266094
365,148,266242
366,140,266382
367,156,266538
368,421,266959
369,128,267087
370,536,267623
371,397,268020
372,67,268087
373,133,268220
374,184,268404
375,71,268475
376,110,268585
377,249,268834
378,310,269144
379,68,269212
380,192,269404
381,137,269541
382,66,269607
383,69,269676
384,208,269884
385,69,269953
386,75,270028
387,417,270445
388,720,271165
389,156,271321
390,72,271393
391,770,272163
392,263,272426
393,166,272592
394,217,272809
395,186,272995
396,167,273162
397,485,273647
398,72,273719
399,133,273852
400,133,273985
401,233,274218
402,280,274498
403,999,275497
404,130,275627
405,82,275709
406,317,276026
407,451,276477
408,119,276596
409,297,276893
410,130,277023
411,71,277094
412,96,277190
413,68,277258
414,80,277338
415,141,277479
416,156,277635
417,143,277778
418,146,277924
419,165,278089
420,429,278518
421,100,278618
422,174,278792
423,204,278996
424,380,279376
425,999,280375
426,371,280746
427,118,280864
428,131,280995
429,66,281061
430,80,281141
431,81,281222
432,143,281365
433,113,281478
434,169,281647
435,183,281830
436,69,281899
437,76,281975
438,69,282044
439,100,282144
440,131,282275
441,139,282414
442,237,282651
443,67,282718
444,94,282812
445,128,282940
446,72,283012
447,202,283214
448,137,283351
449,146,283497
450,203,283700
451,124,283824
452,304,284128
453,71,284199
454,133,284332
455,411,284743
456,85,284828
457,150,284978
458,67,285045
459,204,285249
460,203,285452
461,218,285670
462,120,285790
463,294,286084
464,77,286161
465,116,286277
466,804,287081
467,142,287223
468,196,287419
469,643,288062
470,170,288232
471,69,288301
472,74,288375
473,762,289137
474,143,289280
475,239,289519
476,146,289665
477,134,289799
478,71,289870
479,84,289954
480,82,290036
481,142,290178
482,234,290412
483,89,290501
484,72,290573
485,72,290645
486,177,290822
487,100,290922
488,73,290995
489,73,291068
490,267,291335
491,999,292334
492,240,292574
493,999,293573
494,73,293646
495,77,293723
496,537,294260
497,70,294330
498,83,294413
499,71,294484
