episode,total_reward,step
0,68.42973756107415,831
1,95.40964602018175,972
2,42.15099270087414,1699
3,90.76734576456693,1908
4,32.37939135998283,2822
5,-69.8676704174108,3821
6,81.82964421570328,4106
7,-75.82490706169006,5105
8,-89.5739074103567,6104
9,-86.88277755636409,7103
10,-97.68004738964372,8102
11,-72.23474198240172,9101
12,22.42512494938273,9914
13,-91.03183009817349,10913
14,-86.51669436061638,11912
15,-85.53737171668598,12911
16,-99.900001488626,13910
17,45.28303479109309,14497
18,-87.07999678173383,15496
19,-89.75460368292352,16495
20,39.99896298812833,17299
21,-84.87293462622964,18298
22,66.12462884235993,18782
23,60.37385961996873,19459
24,86.08580883808463,19652
25,-93.80078794983274,20651
26,-99.900001488626,21650
27,85.55198772255335,21862
28,88.48302283781231,22036
29,-84.51786662486484,23035
30,-98.93882963154464,24034
31,-94.64650278612316,25033
32,-98.05270969774574,26032
33,81.02846775826765,26248
34,75.54450990205805,26535
35,-84.04346618580988,27534
36,63.35129103542658,28016
37,22.41122876047484,28860
38,66.08376759862804,29389
39,-80.97470342728775,30388
40,-93.25195301018724,31387
41,32.32702039876858,32122
42,-75.67199348250261,33121
43,-73.66526818122156,34120
44,55.812755173963296,34759
45,19.17774755578785,35735
46,69.76296987175238,36234
47,83.63125639709969,36558
48,89.51034799924628,36761
49,-69.65279082910308,37760
50,91.73805988483582,37879
51,-73.19282084633161,38878
52,51.69387928346987,39397
53,81.1138667574229,39714
54,-91.6341477155638,40713
55,-98.1091257063672,41712
56,-71.32495583433843,42711
57,67.84910904592834,43070
58,-93.05456356388912,44069
59,-77.96951233228924,45068
60,51.447170861501945,45623
61,60.08236477740448,46133
62,-88.69731321883694,47132
63,-79.17049716479306,48131
64,81.81856944079652,48499
65,45.59753827543989,49227
66,-93.66728366419557,50226
67,-89.89277908727456,51225
68,-98.45125798508523,52224
69,-96.63857296388596,53223
70,-90.45943709956596,54222
71,-99.900001488626,55221
72,-92.11476267082617,56220
73,68.74021217898076,56708
74,46.88678017578707,57460
75,13.812904349848068,58431
76,-99.85310354083776,59430
77,-94.25069071125472,60429
78,50.77323881621521,61319
79,15.947999755289857,62318
80,88.46014047398057,62474
81,36.49950126323756,63364
82,89.33810723805254,63511
83,88.81930297538929,63781
84,-59.96603191959912,64780
85,-75.16694446042152,65779
86,67.62245075749443,66283
87,94.97981204449768,66368
88,-89.43574531681094,67367
89,-87.00096518669432,68366
90,68.53073486044865,68804
91,33.37455283566564,69733
92,-95.84959876502398,70732
93,-96.83517368417232,71731
94,-65.42986786282255,72730
95,-66.20437968806678,73729
96,61.87468949471986,74273
97,-58.24592356208635,75272
98,-90.25335158678354,76271
99,-57.608271740438525,77270
100,-90.81127536804706,78269
101,63.3421379404258,78856
102,-46.67251434102734,79855
103,-82.36490546823075,80854
104,-98.85816060565412,81853
105,-86.87574861641701,82852
106,35.634367818262206,83738
107,-68.55721785102503,84737
108,-99.900001488626,85736
109,-98.99257380701602,86735
110,18.569896537948352,87663
111,39.382644063967234,88404
112,-99.900001488626,89403
113,-93.13173593119222,90402
114,-66.31562701373653,91401
115,85.65398395282682,91588
116,66.24472329031587,92099
117,-78.2526682499838,93098
118,69.89543137905503,93565
119,-79.15703577245122,94564
120,83.34380037261298,94910
121,-82.22164029153646,95909
122,-99.1407971084118,96908
123,16.42070822004861,97796
124,13.357123012417588,98778
125,-98.08622158318758,99777
126,80.65704113597297,100127
127,-96.99773711618036,101126
128,-99.900001488626,102125
129,-99.900001488626,103124
130,29.25697224214673,103843
131,-86.72527905758216,104842
132,48.19204593632914,105785
133,77.80496426482296,106284
134,-49.44065417433624,107283
135,-99.900001488626,108282
136,74.71035601987256,108662
137,-84.73430834497469,109661
138,40.95335755844508,110562
139,-96.65695819351822,111561
140,-78.2271908590593,112560
141,-95.92096609562076,113559
142,72.4187950987631,113969
143,-87.37237464500288,114968
144,-54.62025620362911,115967
145,58.50250030912241,116808
146,82.61965237098775,117030
147,-99.900001488626,118029
148,78.02332122810185,118317
149,41.24648123197869,119294
150,70.85097680020411,119878
151,-87.51433154110919,120877
152,-90.27509405466644,121876
153,48.5659128369593,122597
154,36.875934358331165,123570
155,-69.57452375747164,124569
156,64.0169238941744,124968
157,46.40613890462737,125615
158,82.5512206051526,125834
159,68.32607904212682,126343
160,-94.15068804979092,127342
161,-97.87301035318524,128341
162,-97.01199873164296,129340
163,24.390712648984845,130263
164,-97.47549178096232,131262
165,-43.72206442642438,132261
166,-45.18297963794483,133260
167,-69.02627284604114,134259
168,-79.49484922952999,135258
169,-87.7338658853289,136257
170,-99.900001488626,137256
171,-99.44026442244648,138255
172,-99.900001488626,139254
173,-94.92859393917024,140253
174,-86.68077117690035,141252
175,-99.900001488626,142251
176,50.62442437268305,142916
177,-57.35022362065922,143915
178,-96.25644587818532,144914
179,-71.99272415522276,145913
180,-81.85483119658238,146912
181,48.69351705882167,147574
182,-84.51018283122869,148573
183,-51.00633193090692,149572
184,-92.40882847894136,150571
185,-94.84569573402403,151570
186,92.00196075585497,151838
187,-87.78078748793268,152837
188,-59.305986929770654,153836
189,-42.60558081290839,154835
190,-74.14600819667231,155834
191,-89.78771375753604,156833
192,-74.68565662390074,157832
193,61.351746306079775,158446
194,-99.27867015451191,159445
195,89.17616525292397,159581
196,94.40141268613796,159700
197,33.138792801336805,160613
198,-99.900001488626,161612
199,82.73607487717709,161985
200,82.0345653840385,162436
201,-65.81144158875145,163435
202,-56.28806891270285,164434
203,-87.52501256012108,165433
204,-96.23642088891938,166432
205,22.346416452820904,167389
206,81.40291460899698,167693
207,67.37973168782304,168372
208,49.441189225808216,168969
209,-99.85980547219516,169968
210,-70.91468799080907,170967
211,-72.90813227550979,171966
212,-66.13126177576163,172965
213,-96.46045112796128,173964
214,-86.342358623204,174963
215,-63.8399337725462,175962
216,-72.61239419525975,176961
217,67.81160756455846,177673
218,-96.35114600418456,178672
219,39.49376313011817,179409
220,64.59987375698984,179801
221,-72.36693442489246,180800
222,-94.95590662956238,181799
223,58.405917981530685,182643
224,-96.01055972953328,183642
225,68.31620352180494,184065
226,-97.89012913219632,185064
227,45.95103371662845,185815
228,-99.900001488626,186814
229,-91.80145754732077,187813
230,-99.79266317933798,188812
231,-88.95510801106866,189811
232,-75.16252750641388,190810
233,93.46272982713036,191210
234,-69.09953953400357,192209
235,-89.98796391423093,193208
236,-41.837059858995616,194207
237,-99.900001488626,195206
238,-80.99427064406024,196205
239,57.57661101321355,197108
240,80.25582488776038,197523
241,92.37675927183592,197661
242,-76.4872582803946,198660
243,47.590395203586354,199448
244,54.023704581645255,200250
245,-98.47797799715772,201249
246,-92.94305019588768,202248
247,93.3576018072922,202411
248,-62.44055745256912,203410
249,-98.32730966806412,204409
250,-87.41838500569804,205408
251,31.61943809154264,206226
252,66.98930597631261,206632
253,-99.89999700337648,207631
254,-99.900001488626,208630
255,-99.8981310799718,209629
256,42.54661651188508,210267
257,-86.89760086258138,211266
258,-77.97528139476833,212265
259,-65.77497563334651,213264
260,76.21943568045114,213737
261,67.74951971113198,214352
262,84.54244076887358,214659
263,80.75329467140692,215211
264,-43.84721075817004,216210
265,-73.21348930058957,217209
266,-76.50554236595235,218208
267,-99.900001488626,219207
268,-82.00341532944003,220206
269,-31.28045769465914,221205
270,-90.2180537134409,222204
271,-99.900001488626,223203
272,-81.33262140587334,224202
273,75.76583881571798,224715
274,78.66349450235604,225243
275,90.32667045394192,225380
276,87.47915047688468,225654
277,-61.20389309784024,226653
278,-81.15294951169591,227652
279,55.549782734682594,228270
280,-93.44517318182623,229269
281,-96.10566705465315,230268
282,-66.44408553469793,231267
283,-30.968721558874904,232266
284,-87.55406023645719,233265
285,-93.98464750811108,234264
286,-48.34328826535091,235263
287,-78.75783632838909,236262
288,-99.900001488626,237261
289,29.68477336886062,238253
290,61.44659875450469,238859
291,-32.69426088565376,239858
292,70.39271414894063,240553
293,-98.20523379929364,241552
