episode,avg_q
0,-5.83137
1,-8.330622
2,-12.131317
3,-17.054234
4,-21.736767
5,-26.999344
6,-30.686192
7,-35.417118
8,-40.307632
9,-45.310524
10,-49.04802322387695
11,-54.99335861206055
12,-58.5447998046875
13,-63.171875
14,-66.569580078125
15,-70.9018783569336
16,-74.5162353515625
17,-77.05831146240234
18,-79.74932861328125
19,-82.70237731933594
20,-87.55152130126953
21,-89.47037506103516
22,-92.59556579589844
23,-94.23465728759766
24,-94.8105926513672
25,-98.41712951660156
26,-97.66902160644533
27,-99.6899871826172
28,-100.09455108642578
29,-103.8118896484375
30,-104.0903091430664
31,-104.9608383178711
32,-106.28932189941406
33,-107.0698013305664
34,-109.1133041381836
35,-107.22476959228516
36,-106.46302795410156
37,-109.2373046875
38,-106.8136215209961
39,-104.9564971923828
40,-106.18021392822266
41,-108.2022933959961
42,-103.95176696777344
43,-104.47990417480467
44,-109.6772689819336
45,-103.99510192871094
46,-104.38079833984376
47,-99.5539093017578
48,-104.7060317993164
49,-103.7732162475586
50,-102.56168365478516
51,-101.90309143066406
52,-102.33722686767578
53,-99.0185775756836
54,-101.7227554321289
55,-100.56730651855467
56,-100.70711517333984
57,-97.7222137451172
58,-102.6830825805664
59,-99.09476470947266
60,-96.83885192871094
61,-95.8040771484375
62,-96.0747528076172
63,-95.23591613769533
64,-97.41505432128906
65,-97.99049377441406
66,-93.5438003540039
67,-94.73772430419922
68,-96.85816955566406
69,-97.8612823486328
70,-95.96516418457033
71,-97.00533294677734
72,-96.61729431152344
73,-97.7673110961914
74,-96.5136947631836
75,-96.8639678955078
76,-99.15422058105467
77,-96.16844177246094
78,-98.9057159423828
79,-92.26921081542967
80,-95.68065643310548
81,-95.65826416015624
82,-95.96177673339844
83,-99.1913070678711
84,-99.1929931640625
85,-97.87779998779295
86,-103.61000061035156
87,-99.78334045410156
88,-97.35194396972656
89,-99.76268005371094
90,-100.61412048339844
91,-97.27960968017578
92,-98.62289428710938
93,-106.47639465332033
94,-102.49943542480467
95,-97.98731994628906
96,-99.6182632446289
97,-97.79371643066406
98,-98.5522003173828
99,-99.8358917236328
100,-99.0955047607422
101,-98.08631896972656
102,-99.83018493652344
103,-97.73722839355467
104,-97.46170806884766
105,-98.30742645263672
106,-97.4006118774414
107,-98.7296142578125
108,-99.28536987304688
109,-103.6858367919922
110,-98.70577239990234
111,-99.75825500488281
112,-99.6058120727539
113,-98.68882751464844
114,-100.58931732177734
115,-100.16384887695312
116,-96.26848602294922
117,-98.72862243652344
118,-100.112060546875
119,-95.6399917602539
