episode,total_reward
0,-1205.6650609970093
1,-1188.8558093309402
2,-1050.6972520463169
3,-1474.57178530097
4,-1487.764753818512
5,-1480.0593378543854
6,-1455.0708756446838
7,-1364.199424773455
8,-183.6323627863312
9,-1507.3323802947998
10,-843.0651812255383
11,-146.11083225905895
12,-1494.6604447364807
13,-277.14751843130216
14,-276.56939691118896
15,-142.41369932796806
16,-377.6641613165848
17,-133.54722360847518
18,-262.4890795068859
19,-126.47081038101167
20,-0.824535110292345
21,-127.99839369750408
22,-240.89987250166087
23,-135.9225454442203
24,-125.72468042559922
25,-127.42171254000276
26,-133.23670266754925
27,-6.154760402627289
28,-119.1729396795854
29,-347.7343615787104
30,-240.78975040093064
31,-126.65065840059832
32,-131.46067201031838
33,-125.79842649510827
34,-126.81233587488532
35,-239.88230412721896
36,-226.58096919331
37,-126.34405447854806
38,-241.8043755487888
39,-129.24606031458825
40,-234.59959035774227
41,-127.94677192631389
42,-237.9768773734613
43,-253.56205033604056
44,-237.19661239534616
45,-125.33216748572886
46,-242.42896474525327
47,-130.72788631543517
48,-128.65750523563474
49,-352.302259830758
50,-242.76268037687987
51,-342.7383305504918
52,-124.89139674417676
53,-243.76335381530225
54,-227.26559337275103
55,-379.1989959478378
56,-137.02145164832473
57,-247.04464811459184
58,-13.883489202708006
59,-381.5519307515351
60,-130.22821017354727
61,-236.85416347160933
62,-129.69917784258723
63,-135.47449380904436
64,-124.69969953596592
65,-127.759427215904
66,-251.75337728112936
67,-251.1749802418053
68,-292.2098401077092
69,-138.7301697395742
70,-136.16704645752907
71,-122.19247531890868
72,-258.25212386623025
73,-238.41431406140327
74,-123.71497024595736
75,-129.13427065433643
76,-332.592577995616
77,-136.95815033093095
78,-133.05188810825348
79,-127.18323313165456
80,-252.3147543668747
81,-136.4469443783164
82,-139.30912735313177
83,-241.37540956959128
84,-250.2320987805724
85,-14.37751905247569
86,-131.81886933743954
87,-135.8696190007031
88,-126.85279841953889
89,-364.60887363925576
90,-133.5475774668157
91,-255.3615674134344
92,-136.4793730005622
93,-117.4903898909688
94,-244.5448700813577
95,-3.596395770320669
96,-128.5926487185061
97,-331.5882061589509
98,-127.81568188406528
99,-130.6543429722078
100,-120.58464497886598
101,-130.2257827166468
102,-251.0801111701876
103,-126.23144469130784
104,-240.65320237376727
105,-242.71795466542244
106,-124.53435929107944
107,-3.647197726648301
108,-127.70304118283092
109,-132.89743774197996
110,-247.95514597184956
111,-238.63933315314353
112,-128.94521928206086
113,-134.31881682109088
114,-130.5952600245364
115,-353.8677662243135
116,-343.7807959597558
117,-122.29289365746081
118,-367.59418251365423
119,-241.72875498043504
