episode,length,total_reward,avg_q,exploration
0,200,-1165.830865561962,-2.844665,0.1
1,200,-1681.2265812158585,-4.3760195,0.1
2,200,-1414.4360137581823,-6.5864153,0.1
3,200,-1314.2170424312353,-8.721823,0.1
4,200,-1455.3538737893105,-11.341354,0.1
5,200,-1293.5461187511685,-14.427063,0.1
6,200,-1507.8558988571167,-18.25243,0.1
7,200,-1491.9584317207336,-21.731731,0.1
8,200,-1186.8079717159271,-26.40655,0.1
9,200,-715.8570761308074,-28.720276,0.1
10,200,-429.99807710089954,-32.336784,0.1
11,200,-1495.6759338378906,-36.612022,0.1
12,200,-583.9239265657961,-39.22662,0.1
13,200,-689.8579170927405,-40.727333,0.1
14,200,-523.7522048726678,-43.20464,0.1
15,200,-1210.4976826906204,-47.404247,0.1
16,200,-136.81882255664095,-50.598972,0.1
17,200,-131.97942149068697,-51.390453,0.1
18,200,-133.52310949750245,-54.496437,0.1
19,200,-384.827598903561,-54.44145,0.1
20,200,-251.7577908124622,-58.10686,0.1
21,200,-246.49894453573503,-61.45771,0.1
22,200,-124.7218517770525,-60.159218,0.1
23,200,-267.4767264779657,-62.29081,0.1
24,200,-367.10928436741233,-62.74154,0.1
25,200,-138.97211934253573,-60.1994,0.1
26,200,-259.42163534089923,-64.17153,0.1
27,200,-127.25308949686588,-68.57029,0.1
28,200,-268.36783254146576,-65.855934,0.1
29,200,-13.383382650092244,-66.75964,0.1
30,200,-251.10969282872972,-62.045715,0.1
31,200,-360.6828744933009,-66.79161,0.1
32,200,-127.9061684172193,-62.441925,0.1
33,200,-122.1919072442106,-64.57457,0.1
34,200,-124.407576009864,-63.65406,0.1
35,200,-118.01196660136338,-62.066185,0.1
36,200,-130.841899814317,-60.1162,0.1
37,200,-232.6082888348028,-63.350636,0.1
38,200,-1.75436316858395,-62.98335,0.1
39,200,-245.72005349653773,-63.80303,0.1
40,200,-234.09039340235176,-61.433796,0.1
41,200,-2.4375703933183104,-60.800453,0.1
42,200,-3.0682284818030894,-63.230064,0.1
43,200,-125.42352235475846,-61.502247,0.1
44,200,-5.847030942793936,-60.471092,0.1
45,200,-4.317699976149015,-65.50667,0.1
46,200,-126.06568691588473,-62.93529,0.1
47,200,-126.90134719619527,-64.27419,0.1
48,200,-122.3816570690542,-60.253143,0.1
49,200,-326.5014608693309,-62.976105,0.1
50,200,-243.62663352239176,-64.417175,0.1
51,200,-124.76864485547412,-66.42634,0.1
52,200,-244.9259858391597,-64.52621,0.1
53,200,-235.93835629697423,-67.95459,0.1
54,200,-244.68013893649916,-63.00515,0.1
55,200,-132.59761577658355,-65.56948,0.1
56,200,-246.8371624276042,-65.85117,0.1
57,200,-123.08365413258434,-68.49917,0.1
58,200,-233.47589409066404,-65.20852,0.1
59,200,-357.8192933693208,-63.47489,0.1
60,200,-247.6563789136708,-67.28018,0.1
61,200,-302.07635121047497,-64.46709,0.1
62,200,-252.98719041794536,-63.77009,0.1
63,200,-385.1813596561551,-65.79346,0.1
64,200,-17.065186075866222,-65.82351,0.1
65,200,-242.3695027977228,-63.106995,0.1
66,200,-379.3513678498566,-62.21466,0.1
67,200,-132.92806135118008,-66.57042,0.1
68,200,-129.96934511512518,-64.61782,0.1
69,200,-125.34492889419198,-64.30024,0.1
70,200,-233.2772674560547,-64.73749,0.1
71,200,-124.1957541126758,-64.67366,0.1
72,200,-131.81994008272886,-61.555885,0.1
73,200,-123.25321161095052,-63.812378,0.1
74,200,-120.02219544909894,-63.92222,0.1
75,200,-240.1386946048588,-64.37258,0.1
76,200,-122.6308688498102,-60.481792,0.1
77,200,-128.62526449075085,-62.46525,0.1
78,200,-340.6859955044929,-61.606163,0.1
79,200,-232.84028377765208,-62.931923,0.1
80,200,-245.2430554018356,-63.038208,0.1
81,200,-130.66677781986073,-61.656086,0.1
82,200,-641.0111760585569,-64.73224,0.1
83,200,-119.25324140884914,-64.31712,0.1
84,200,-126.62175557453884,-64.08649,0.1
85,200,-120.0958572140662,-63.13686,0.1
86,200,-239.330562444331,-55.197227,0.1
87,200,-118.98494308197404,-61.223885,0.1
88,200,-127.67861001752316,-62.95635,0.1
89,200,-241.27742680697705,-63.60731,0.1
90,200,-120.85803349810884,-64.93862,0.1
91,200,-133.94879590533674,-62.95984,0.1
92,200,-132.83566768001765,-61.82641,0.1
93,200,-119.7069490449503,-62.752644,0.1
94,200,-125.88678393093868,-66.22996,0.1
95,200,-129.49355590052437,-60.656013,0.1
96,200,-245.6483424338512,-61.058777,0.1
97,200,-119.0137807354331,-61.46311,0.1
98,200,-124.69407255388796,-64.91994,0.1
99,200,-240.2766514401883,-64.23008,0.1
100,200,-307.85608334606513,-64.66252136230469,0.09090909090909091
101,200,-127.04078762605786,-65.55900573730469,0.09090909090909091
102,200,-234.38408321654424,-63.09454345703125,0.09090909090909091
103,200,-131.92845802381635,-62.57893753051758,0.09090909090909091
104,200,-234.11372986249626,-65.92994689941406,0.09090909090909091
105,200,-239.9616295429878,-64.53337860107422,0.09090909090909091
106,200,-128.0391731429845,-64.99739074707031,0.09090909090909091
107,200,-1052.7497136741877,-62.6436767578125,0.09090909090909091
108,200,-126.0639429576695,-62.785194396972656,0.09090909090909091
109,200,-6.837677572853863,-61.9199104309082,0.09090909090909091
110,200,-237.84368808288127,-65.68302154541016,0.09090909090909091
111,200,-125.23732887487859,-67.91191101074219,0.09090909090909091
112,200,-129.44381504994817,-67.77799224853516,0.09090909090909091
113,200,-126.7350594913587,-64.38069152832031,0.09090909090909091
114,200,-247.73084886325523,-64.66279602050781,0.09090909090909091
115,200,-5.014661421068013,-63.779823303222656,0.09090909090909091
116,200,-130.2834922671318,-68.63999938964844,0.09090909090909091
117,200,-243.687772359699,-63.305870056152344,0.09090909090909091
118,200,-245.3818838139996,-64.50203704833984,0.09090909090909091
119,200,-120.05379545723554,-64.23789978027344,0.09090909090909091
120,200,-243.6168340104632,-64.5162124633789,0.09090909090909091
121,200,-116.95668591109279,-64.46217346191406,0.09090909090909091
122,200,-247.66741681366693,-65.79832458496094,0.09090909090909091
123,200,-119.72033968553296,-62.2782096862793,0.09090909090909091
124,200,-237.2405371151399,-65.4230728149414,0.09090909090909091
125,200,-130.25090426913812,-66.07008361816406,0.09090909090909091
126,200,-126.4275825246732,-67.56103515625,0.09090909090909091
127,200,-227.98660984635353,-68.02327728271484,0.09090909090909091
128,200,-127.10790855856612,-66.86734771728516,0.09090909090909091
129,200,-242.71958566945978,-66.02964782714844,0.09090909090909091
130,200,-117.49694686068688,-66.8876953125,0.09090909090909091
131,200,-233.7007031897083,-66.8288803100586,0.09090909090909091
132,200,-233.78090662625618,-66.33110046386719,0.09090909090909091
133,200,-0.667840188354603,-64.30558776855469,0.09090909090909091
134,200,-370.3683858273289,-64.99795532226562,0.09090909090909091
135,200,-5.929314990644343,-65.61741638183594,0.09090909090909091
136,200,-129.20663257599517,-63.2819938659668,0.09090909090909091
137,200,-120.18348370469175,-64.70770263671875,0.09090909090909091
