episode,absolute error
0,71335.93217099192
1,47609.731169110186
2,94532.08550562667
3,81598.16703566439
4,88502.34174415034
5,86018.35332424595
6,69839.66580938244
7,61591.69209125049
8,58469.62070779702
9,51458.75587199492
10,18010.787752453292
11,275.10291234940104
12,44467.54130563846
13,50662.11038958807
14,4922.789318830577
15,8087.246325757092
16,533.1181335956096
17,368.4458730821743
18,282.20617712094025
19,864.5432443147017
20,359.91826223091573
21,173.11477137822905
22,233.17291149205303
23,314.80936386602764
24,209.25514272010213
25,1220.8730488341555
26,294.5359046306272
27,200.53107341263905
28,1342.3940242525236
29,301.38734856795963
30,230.23717406293625
31,582.5347812879486
32,422.157177191493
33,315.3252423130716
34,1315.1939575561564
35,440.624742025893
36,304.27488182037916
