episode,avg_q
0,-6.239257
1,-9.453111
2,-13.723409
3,-18.591457
4,-23.503092
5,-29.052044
6,-33.082603
7,-38.45328
8,-42.279125
9,-46.114056
10,-48.4007453918457
11,-48.98618316650391
12,-54.25457763671875
13,-58.514259338378906
14,-61.31055450439453
15,-62.4647102355957
16,-63.84052276611328
17,-66.21456146240234
18,-68.09371948242188
19,-69.87232208251953
20,-71.08908081054688
21,-69.69847869873047
22,-70.71424865722656
23,-70.92245483398438
24,-72.20670318603516
25,-71.73848724365234
26,-71.3061752319336
27,-70.67655181884766
28,-70.48878479003906
29,-70.64775848388672
30,-71.43618774414062
31,-69.72840118408203
32,-69.29496765136719
33,-70.06346130371094
34,-71.40306091308594
35,-66.67059326171875
36,-70.5905990600586
