episode,total_reward
0,-1209.8889031410215
1,-898.6633970420808
2,-1640.1067216396332
3,-1498.914942741394
4,-1562.5040016174316
5,-1668.6976389884949
6,-1290.8733471632004
7,-1191.4156880378723
8,-1071.3822940904647
9,-1081.969784259796
10,-540.6423145308472
11,-4.682790728642431
12,-964.72481238842
13,-951.2849411070348
14,-260.1494262292981
15,-438.67982139019296
16,-129.2226730673574
17,-140.0719537793193
18,-130.34073819126934
19,-229.3341704637278
20,-129.03804267989472
21,-1.931813410483301
22,-125.3242934292648
23,-129.2024490784388
24,-2.7426765247946605
25,-246.66410970967263
26,-120.08863545418716
27,-2.61661935900338
28,-293.6156734684482
29,-120.76519731036387
30,-1.4912665095180273
31,-131.3795658329036
32,-231.29162604769226
33,-118.0881721508922
34,-318.86536472081207
35,-122.40353293786757
36,-125.27374965243507
