episode,length,total_reward,avg_q,exploration
0,93,-119.33880190541244,1.5457177,1.0
1,117,-247.156413924288,2.9221196,1.0
2,130,-144.68945455316384,3.6393826,1.0
3,94,-127.79772819859063,4.298238,1.0
4,116,-78.66449350888615,5.8201456,1.0
5,67,-83.18317244677763,6.3024945,1.0
6,65,-76.82456224084686,6.824755,1.0
7,132,-407.44727740446,7.4227715,1.0
8,82,-261.6214385347927,7.611783,1.0
9,69,-217.5276729132642,7.8588624,1.0
10,107,-130.30806486881903,8.317831,1.0
11,59,-75.77526521860963,8.399214,1.0
12,95,-280.16878479261163,8.934732,1.0
13,118,-21.8983347599834,9.205687,1.0
14,75,-335.23867058881933,9.352398,1.0
15,110,-183.0982834102485,9.760304,1.0
16,81,-179.62585279274026,9.342885,1.0
17,101,-365.9645054883952,9.481377,1.0
18,64,-192.55858047663065,9.572323,1.0
19,96,-44.07044414984144,10.1071,1.0
20,103,-54.552037596002975,9.528643,1.0
21,108,-314.5545285789402,9.91432,1.0
22,96,-290.6283687688316,9.097062,1.0
23,103,-125.67278288894208,8.642797,1.0
24,98,-219.127319143124,8.208487,1.0
25,64,-94.2969035608832,7.8024507,1.0
26,88,-404.4243477859883,7.5288467,1.0
27,144,-321.3661464197684,6.69,1.0
28,66,-88.90017365761477,6.375211,1.0
29,103,-272.7759094097818,5.7749014,1.0
30,59,-63.10583775781322,6.134068,1.0
31,70,-160.76358201871648,5.984815,1.0
32,77,-75.95027480239804,5.835372,1.0
33,71,-65.19480794102796,5.6603136,1.0
34,69,-82.27402861347,5.99161,1.0
35,62,-133.0757161690286,5.63165,1.0
36,87,-85.91913706867074,5.6251373,1.0
37,109,-104.99106887037418,5.2151413,1.0
38,112,-142.9808012173194,5.0929418,1.0
39,89,-272.0776475065654,4.846471,1.0
40,93,-409.07178100694296,4.3968644,1.0
41,95,-106.3462983184012,4.31146,1.0
42,69,-64.94039069005724,4.144577,1.0
43,77,-94.87079944416028,4.0352616,1.0
44,123,-251.33626105577824,3.8913364,1.0
45,108,-60.39670237130776,3.9320838,1.0
46,86,-98.93482600298718,4.0043387,1.0
47,117,-78.53032961685066,3.7005928,1.0
48,75,-73.30428933495008,3.9226654,1.0
49,63,-179.76600742179835,4.1477385,1.0
50,118,-310.39896457059274,3.7963376,1.0
51,98,-96.76513793453306,3.7133546,1.0
52,91,-128.37926498088927,4.047676,1.0
53,99,-213.4878317130566,3.932026,1.0
54,112,-7.168587382998268,3.8484032,1.0
55,73,-206.2863956002933,3.753015,1.0
