episode,length,total_reward,avg_q,exploration
0,200,-200.0,-0.04305784,1.0
1,200,-200.0,-0.3269222,0.9950248756218908
2,200,-200.0,-0.60809076,0.990074503106359
3,200,-200.0,-0.8282083,0.98514875930981
4,200,-200.0,-0.94113284,0.9802475217013036
5,200,-200.0,-1.6856222,0.9753706683595064
6,200,-200.0,-1.9608514,0.970518077969658
7,200,-200.0,-1.9813633,0.9656896298205554
8,200,-200.0,-1.9802777,0.9608852038015476
9,200,-200.0,-1.9888887,0.95610468039955
10,200,-200.0,-2.99438738822937,0.95134794069607
11,200,-200.0,-2.9950268268585205,0.9466148663642489
12,200,-200.0,-2.998831272125244,0.9419053396659192
13,200,-200.0,-2.9969968795776367,0.937219243448676
14,200,-200.0,-3.002833843231201,0.9325564611429612
15,200,-200.0,-4.058562278747559,0.9279168767591656
16,200,-200.0,-3.999735593795776,0.923300374884742
17,200,-200.0,-4.006804466247559,0.9187068406813352
18,200,-200.0,-4.009608268737793,0.914136159881926
19,200,-200.0,-4.007449150085449,0.909588218787986
20,200,-200.0,-5.038027286529541,0.9050629042666528
21,200,-200.0,-4.99103307723999,0.9005601037479133
22,200,-200.0,-4.989636421203613,0.8960797052218044
23,200,-200.0,-4.996402740478516,0.8916215972356263
24,200,-200.0,-4.992122650146484,0.8871856688911706
25,200,-200.0,-5.976767539978027,0.8827718098419609
26,200,-200.0,-5.959534645080566,0.8783799102905084
27,200,-200.0,-5.985570430755615,0.8740098609855806
28,200,-200.0,-5.974081993103027,0.8696615532194834
29,200,-200.0,-5.990077495574951,0.8653348788253566
30,200,-200.0,-6.912631988525391,0.8610297301744844
31,200,-200.0,-6.945608615875244,0.8567460001736164
32,200,-200.0,-6.940267086029053,0.8524835822623049
33,200,-200.0,-6.96127462387085,0.8482423704102537
34,200,-200.0,-6.970083713531494,0.8440222591146804
35,200,-200.0,-7.855160713195801,0.839823143397692
36,200,-200.0,-7.917959690093994,0.8356449188036738
37,200,-200.0,-7.925430297851562,0.8314874813966904
38,200,-200.0,-7.936341762542725,0.827350727757901
39,200,-200.0,-7.943779945373535,0.8232345549829861
40,200,-200.0,-8.788663864135742,0.8191388606795883
41,200,-200.0,-8.895757675170898,0.8150635429647646
42,200,-200.0,-8.880270004272461,0.8110085004624524
43,200,-200.0,-8.888808250427246,0.8069736323009478
44,200,-200.0,-8.906758308410645,0.8029588381103959
45,200,-200.0,-9.741955757141112,0.7989640180202945
