episode,length,total_reward,avg_q,exploration
0,200,-61.9583490267396,-0.010989407,1.0
1,200,-95.63175620138644,-0.015487122,0.99009900990099
2,200,-125.53144833445548,-0.058912206,0.9802960494069208
3,200,-153.19458822906017,-0.10779865,0.9705901479276444
4,200,-66.33262342214584,-0.09166818,0.9609803444828162
5,200,-174.27020813524723,-0.37462124,0.9514656876067488
6,200,-112.49222784116864,-0.43232426,0.9420452352542068
7,200,-145.22499719262123,-0.4621729,0.9327180547071352
8,200,-69.8283105045557,-0.4876934,0.9234832224823122
9,200,-70.89233865961432,-0.42092913,0.914339824239913
10,200,-117.18271717056632,-0.6973005533218384,0.9052869546929831
11,200,-91.31863717734814,-0.751705527305603,0.896323717517805
12,200,-190.4073080420494,-0.7722021341323853,0.8874492252651535
13,200,-127.04856410622595,-0.7535609006881714,0.8786625992724292
14,200,-83.33092951029539,-0.7962705492973328,0.8699629695766625
15,200,-43.92326006665826,-1.130242109298706,0.8613494748283788
16,200,-193.3665425926447,-1.1067616939544678,0.8528212622063156
17,200,-79.95164152234793,-1.1487139463424685,0.8443774873329858
18,200,-179.7586624622345,-1.1119887828826904,0.8360173141910751
19,200,-178.84590801596642,-1.1059364080429075,0.8277399150406684
20,200,-122.16525892168283,-1.5038259029388428,0.8195444703372954
21,200,-192.29958353936672,-1.4765459299087524,0.8114301686507875
22,200,-59.530137967318296,-1.4342998266220093,0.8033962065849382
23,200,-56.92556873336434,-1.437977910041809,0.7954417886979586
24,200,-91.64859483391048,-1.454176664352417,0.7875661274237213
25,200,-179.87169554829595,-1.809594750404358,0.7797684429937835
26,200,-142.7042838409543,-1.8360515832901,0.7720479633601817
27,200,-87.16773087531328,-1.7864477634429932,0.7644039241189917
28,200,-97.26270569115876,-1.7719329595565796,0.7568355684346453
29,200,-130.9889936298132,-1.788275122642517,0.7493421469649953
30,200,-150.1855203434825,-2.081749439239502,0.741922917787124
31,200,-103.83095748722552,-2.084970474243164,0.7345771463238852
32,200,-75.04351711645722,-2.093799591064453,0.7273041052711734
33,200,-79.63173891603947,-2.08045506477356,0.7201030745259143
34,200,-227.96820786595345,-2.094666242599488,0.7129733411147666
35,200,-109.28540752083065,-2.4182939529418945,0.7059141991235313
36,200,-115.12761253118516,-2.464059352874756,0.6989249496272587
37,200,-194.1730708181858,-2.40221905708313,0.6920049006210482
38,200,-147.1461403593421,-2.3909752368927,0.685153366951533
39,200,-195.8415747731924,-2.429638385772705,0.6783696702490425
40,200,-59.91765797883272,-2.726207971572876,0.6716531388604381
41,200,-234.9767544567585,-2.7719264030456543,0.665003107782612
